frame;time;average
133;0.313459;0.313459
266;0.166687;0.240073
400;0.0262333;0.168793
533;0.354501;0.21522
666;0.271087;0.226393
800;0.352084;0.247342
933;0.405155;0.269886
1066;0.358143;0.280919
1200;0.370288;0.290848
1333;0.411801;0.302944
1466;0.340627;0.30637
1600;0.364772;0.311236
1733;0.333097;0.312918
1866;0.315113;0.313075
2000;0.333695;0.314449
2133;0.319631;0.314773
2266;0.329773;0.315656
2400;0.330359;0.316472
2533;0.690227;0.336144
2666;0.768803;0.357777
2800;0.455793;0.362444
2933;0.535395;0.370306
3066;0.416691;0.372322
3200;0.634224;0.383235
3333;0.719796;0.396697
3466;0.687837;0.407895
3600;0.370776;0.40652
3733;0.364168;0.405008
3866;0.441516;0.406267
4000;0.451151;0.407763
4133;0.410755;0.407859
4266;0.505681;0.410916
4400;0.538191;0.414773
4533;0.45624;0.415993
4666;0.473741;0.417643
4800;0.496609;0.419836
4933;0.398052;0.419247
5066;0.315072;0.416506
5200;0.338229;0.414499
5333;0.357313;0.413069
5466;0.357071;0.411703
5600;0.35254;0.410295
5733;0.322592;0.408255
5866;0.368299;0.407347
6000;0.322576;0.405463
6133;0.344833;0.404145
6266;0.377148;0.403571
6400;0.348549;0.402424
6533;0.372131;0.401806
6666;0.330955;0.400389
6800;0.333897;0.399085
6933;0.347596;0.398095
7066;0.343804;0.397071
7200;0.653544;0.40182
7333;0.476604;0.40318
7466;0.549109;0.405786
7600;0.359727;0.404978
7733;0.565799;0.407751
7866;0.353083;0.406824
8000;0.523392;0.408767
8133;0.369451;0.408122
8266;0.33142;0.406885
8400;0.324603;0.405579
8533;0.393728;0.405394
8666;0.540614;0.407474
8800;0.458052;0.408241
8933;0.718776;0.412875
9066;0.357087;0.412055
9200;0.351405;0.411176
9333;0.341076;0.410175
9466;0.354305;0.409388
9600;0.326509;0.408237
9733;0.318575;0.407008
9866;0.5353;0.408742
10000;0.350335;0.407963
