time;count
0.073464;884
0.146928;67
0.220392;5956
0.293856;1342
0.36732;766
0.440784;314
0.514248;161
0.587712;79
0.661176;62
0.73464;50
0.808104;54
0.881568;51
0.955032;39
1.0285;40
1.10196;27
1.17542;30
1.24889;27
1.32235;15
1.39582;8
1.46928;8
1.54274;5
1.61621;3
1.68967;1
1.76314;2
1.8366;2
1.91006;2
1.98353;0
2.05699;1
2.13046;0
2.20392;1
2.27738;1
2.35085;0
2.42431;0
2.49778;0
2.57124;0
2.6447;0
2.71817;0
2.79163;0
2.8651;0
2.93856;0
3.01202;0
3.08549;0
3.15895;0
3.23242;0
3.30588;0
3.37934;0
3.45281;0
3.52627;0
3.59974;0
3.6732;1
3.74666;0
3.82013;0
3.89359;0
3.96706;0
4.04052;0
4.11398;0
4.18745;0
4.26091;0
4.33438;0
4.40784;0
4.4813;0
4.55477;0
4.62823;0
4.7017;0
4.77516;0
4.84862;0
4.92209;0
4.99555;0
5.06902;0
5.14248;0
5.21594;0
5.28941;0
5.36287;0
5.43634;0
5.5098;1
