frame;time;average
133;0.000334667;0.000334667
266;0.000334667;0.000334667
400;0.000385333;0.000351556
533;0.001904;0.000739667
666;0.000346667;0.000661067
800;0.000342667;0.000608
933;0.000342667;0.000570095
1066;0.000346667;0.000542167
1200;0.000652;0.00055437
1333;0.000352;0.000534133
1466;0.000372;0.000519394
1600;0.000525333;0.000519889
1733;0.000337333;0.000505846
1866;0.000333333;0.000493524
2000;0.000450667;0.000490667
2133;0.000510667;0.000491917
2266;0.000344;0.000483216
2400;0.000309333;0.000473556
2533;0.00032;0.000465474
2666;0.000336;0.000459
2800;0.000370667;0.000454794
2933;0.000584;0.000460667
3066;0.000368;0.000456638
3200;0.000525333;0.0004595
3333;0.000442667;0.000458827
3466;0.00034;0.000454256
3600;0.00178533;0.000503556
3733;0.001544;0.000540714
3866;0.000378667;0.000535126
4000;0.000477333;0.0005332
4133;0.000346667;0.000527183
4266;0.000436;0.000524333
4400;0.000401333;0.000520606
4533;0.000436;0.000518118
4666;0.00042;0.000515314
4800;0.000337333;0.00051037
4933;0.000324;0.000505333
5066;0.000830667;0.000513895
5200;0.000526667;0.000514222
5333;0.000382667;0.000510933
5466;0.000337333;0.000506699
5600;0.000832;0.000514444
5733;0.000337333;0.000510326
5866;0.000641333;0.000513303
6000;0.000444;0.000511763
6133;0.000488;0.000511246
6266;0.000432;0.00050956
6400;0.000404;0.000507361
6533;0.000908;0.000515537
6666;0.000314667;0.00051152
6800;0.000430667;0.000509935
6933;0.000477333;0.000509308
7066;0.00038;0.000506868
7200;0.000897333;0.000514099
7333;0.000818667;0.000519636
7466;0.000684;0.000522571
7600;0.000461333;0.000521497
7733;0.000425333;0.000519839
7866;0.000905333;0.000526373
8000;0.000246667;0.000521711
8133;0.000886667;0.000527694
8266;0.000394667;0.000525548
8400;0.000621333;0.000527069
8533;0.000322667;0.000523875
8666;0.000412;0.000522154
8800;0.000322667;0.000519131
8933;0.000574667;0.00051996
9066;0.000334667;0.000517235
9200;0.000736;0.000520406
9333;0.00034;0.000517829
9466;0.000378667;0.000515869
9600;0.000332;0.000513315
9733;0.000582667;0.000514265
9866;0.000366667;0.00051227
10000;0.000852;0.0005168
