frame;time;average
133;0.0312213;0.0312213
266;0.0297253;0.0304733
400;0.035964;0.0323036
533;0.0369893;0.033475
666;0.034908;0.0337616
800;0.04296;0.0352947
933;0.0497013;0.0373528
1066;0.0381947;0.037458
1200;0.0362187;0.0373203
1333;0.0378467;0.0373729
1466;0.0353667;0.0371905
1600;0.0437613;0.0377381
1733;0.042256;0.0380856
1866;0.0381293;0.0380888
2000;0.0375333;0.0380517
2133;0.0516827;0.0389037
2266;0.060972;0.0402018
2400;0.0512787;0.0408172
2533;0.0605253;0.0418545
2666;0.0406133;0.0417924
2800;0.040336;0.041723
2933;0.0415293;0.0417142
3066;0.0401627;0.0416468
3200;0.0431147;0.0417079
3333;0.0468547;0.0419138
3466;0.0682227;0.0429257
3600;0.0385547;0.0427638
3733;0.0375747;0.0425785
3866;0.0375693;0.0424057
4000;0.0417107;0.0423826
4133;0.033204;0.0420865
4266;0.037576;0.0419455
4400;0.0346973;0.0417259
4533;0.0329707;0.0414684
4666;0.034696;0.0412749
4800;0.0373507;0.0411659
4933;0.0366827;0.0410447
5066;0.0375893;0.0409538
5200;0.0357267;0.0408198
5333;0.0379707;0.0407485
5466;0.038112;0.0406842
5600;0.0363307;0.0405806
5733;0.0385053;0.0405323
5866;0.0344093;0.0403932
6000;0.0353707;0.0402815
6133;0.0301493;0.0400613
6266;0.0319733;0.0398892
6400;0.0359693;0.0398075
6533;0.034612;0.0397015
6666;0.034764;0.0396027
6800;0.0598347;0.0399995
6933;0.04812;0.0401556
7066;0.0603107;0.0405359
7200;0.035188;0.0404369
7333;0.0626373;0.0408405
7466;0.0339507;0.0407175
7600;0.047972;0.0408447
7733;0.0619067;0.0412079
7866;0.0366747;0.0411311
8000;0.0325707;0.0409884
8133;0.03322;0.040861
8266;0.0330333;0.0407348
8400;0.0336813;0.0406228
8533;0.0684973;0.0410584
8666;0.034592;0.0409589
8800;0.0446293;0.0410145
8933;0.0862053;0.041689
9066;0.0566387;0.0419088
9200;0.0372573;0.0418414
9333;0.036372;0.0417633
9466;0.04068;0.041748
9600;0.034848;0.0416522
9733;0.0354467;0.0415672
9866;0.0376387;0.0415141
10000;0.0339013;0.0414126
