time;count
0.0161173;0
0.0322347;0
0.048352;0
0.0644693;0
0.0805867;0
0.096704;0
0.112821;0
0.128939;0
0.145056;47
0.161173;31
0.177291;70
0.193408;109
0.209525;218
0.225643;229
0.24176;104
0.257877;59
0.273995;37
0.290112;20
0.306229;13
0.322347;9
0.338464;4
0.354581;3
0.370699;1
0.386816;4
0.402933;6
0.419051;4
0.435168;2
0.451285;1
0.467403;2
0.48352;2
0.499637;4
0.515755;1
0.531872;1
0.547989;1
0.564107;1
0.580224;1
0.596341;2
0.612459;1
0.628576;3
0.644693;0
0.660811;3
0.676928;1
0.693045;2
0.709163;3
0.72528;0
0.741397;3
0.757515;0
0.773632;3
0.789749;2
0.805867;2
0.821984;2
0.838101;0
0.854219;0
0.870336;2
0.886453;0
0.902571;1
0.918688;0
0.934805;1
0.950923;0
0.96704;1
0.983157;1
0.999275;0
1.01539;1
1.03151;0
1.04763;0
1.06374;0
1.07986;1
1.09598;0
1.1121;2
1.12821;0
1.14433;1
1.16045;1
1.17657;0
1.19268;0
1.2088;1
