frame;time;average
133;0.00246933;0.00246933
266;0.00204133;0.00225533
400;0.00251067;0.00234044
533;0.00200667;0.002257
666;0.00192667;0.00219093
800;0.00195733;0.002152
933;0.00189333;0.00211505
1066;0.001948;0.00209417
1200;0.00194;0.00207704
1333;0.00193333;0.00206267
1466;0.001964;0.0020537
1600;0.00193467;0.00204378
1733;0.00235733;0.0020679
1866;0.00195467;0.00205981
2000;0.00196;0.00205316
2133;0.00191867;0.00204475
2266;0.00192667;0.0020378
2400;0.00190533;0.00203044
2533;0.00193467;0.0020254
2666;0.00197467;0.00202287
2800;0.00219733;0.00203117
2933;0.002464;0.00205085
3066;0.00400133;0.00213565
3200;0.00354533;0.00219439
3333;0.00383067;0.00225984
3466;0.00266533;0.00227544
3600;0.002804;0.00229501
3733;0.003648;0.00234333
3866;0.00311867;0.00237007
4000;0.00288533;0.00238724
4133;0.00276667;0.00239948
4266;0.00270533;0.00240904
4400;0.00278;0.00242028
4533;0.00371867;0.00245847
4666;0.009336;0.00265497
4800;0.004408;0.00270367
4933;0.00388933;0.00273571
5066;0.00518533;0.00280018
5200;0.00797333;0.00293282
5333;0.00569733;0.00300193
5466;0.00496133;0.00304972
5600;0.00424133;0.0030781
5733;0.00392533;0.0030978
5866;0.004112;0.00312085
6000;0.00435067;0.00314818
6133;0.00377733;0.00316186
6266;0.003452;0.00316803
6400;0.00497333;0.00320564
6533;0.00330933;0.00320776
6666;0.00296133;0.00320283
6800;0.00298933;0.00319864
6933;0.00332667;0.0032011
7066;0.00313733;0.0031999
7200;0.002792;0.00319235
7333;0.00313867;0.00319137
7466;0.003644;0.00319945
7600;0.003276;0.0032008
7733;0.00294533;0.00319639
7866;0.003216;0.00319672
8000;0.00315467;0.00319602
8133;0.00312933;0.00319493
8266;0.00303067;0.00319228
8400;0.00277867;0.00318571
8533;0.0037;0.00319375
8666;0.00316267;0.00319327
8800;0.00405733;0.00320636
8933;0.00298667;0.00320308
9066;0.00292533;0.003199
9200;0.00570533;0.00323532
9333;0.003388;0.0032375
9466;0.005308;0.00326667
9600;0.00315733;0.00326515
9733;0.00313333;0.00326334
9866;0.00291067;0.00325858
10000;0.00249867;0.00324844
