time;count
0.00477333;0
0.00954667;0
0.01432;116
0.0190933;208
0.0238667;227
0.02864;68
0.0334133;50
0.0381867;38
0.04296;23
0.0477333;9
0.0525067;10
0.05728;2
0.0620533;3
0.0668267;0
0.0716;0
0.0763733;0
0.0811467;0
0.08592;2
0.0906933;2
0.0954667;2
0.10024;1
0.105013;1
0.109787;0
0.11456;1
0.119333;1
0.124107;1
0.12888;1
0.133653;1
0.138427;0
0.1432;0
0.147973;0
0.152747;0
0.15752;1
0.162293;0
0.167067;1
0.17184;0
0.176613;0
0.181387;0
0.18616;0
0.190933;0
0.195707;1
0.20048;1
0.205253;0
0.210027;0
0.2148;0
0.219573;0
0.224347;0
0.22912;0
0.233893;0
0.238667;0
0.24344;0
0.248213;0
0.252987;0
0.25776;0
0.262533;0
0.267307;0
0.27208;0
0.276853;0
0.281627;0
0.2864;0
0.291173;0
0.295947;0
0.30072;0
0.305493;0
0.310267;0
0.31504;0
0.319813;0
0.324587;0
0.32936;0
0.334133;0
0.338907;0
0.34368;0
0.348453;0
0.353227;0
0.358;1
