frame;time;average
133;0.259807;0.259807
266;0.277025;0.268416
400;0.261592;0.266141
533;0.233212;0.257909
666;0.309329;0.268193
800;0.351613;0.282096
933;0.311299;0.286268
1066;0.318977;0.290357
1200;0.359176;0.298003
1333;0.321997;0.300403
1466;0.316833;0.301897
1600;0.289475;0.300861
1733;0.272272;0.298662
1866;0.271844;0.296747
2000;0.277304;0.29545
2133;0.271433;0.293949
2266;0.286444;0.293508
2400;0.379659;0.298294
2533;0.648191;0.31671
2666;0.653699;0.333559
2800;0.403624;0.336896
2933;0.472081;0.34304
3066;0.398993;0.345473
3200;0.5737;0.354983
3333;0.604592;0.364967
3466;0.581892;0.37331
3600;0.289636;0.370211
3733;0.302311;0.367786
3866;0.392595;0.368642
4000;0.367491;0.368603
4133;0.363648;0.368443
4266;0.418371;0.370004
4400;0.450024;0.372428
4533;0.444623;0.374552
4666;0.396432;0.375177
4800;0.487096;0.378286
4933;0.360647;0.377809
5066;0.270479;0.374985
5200;0.29672;0.372978
5333;0.306367;0.371313
5466;0.306784;0.369739
5600;0.311779;0.368359
5733;0.276385;0.36622
5866;0.319552;0.365159
6000;0.285469;0.363388
6133;0.298677;0.361981
6266;0.325481;0.361205
6400;0.298964;0.359908
6533;0.308285;0.358855
6666;0.296504;0.357608
6800;0.286043;0.356204
6933;0.290481;0.354941
7066;0.279224;0.353512
7200;0.501668;0.356256
7333;0.449272;0.357947
7466;0.469261;0.359935
7600;0.335437;0.359505
7733;0.516081;0.362204
7866;0.289547;0.360973
8000;0.421884;0.361988
8133;0.367611;0.36208
8266;0.2813;0.360777
8400;0.282871;0.359541
8533;0.286196;0.358395
8666;0.496508;0.360519
8800;0.316533;0.359853
8933;0.590844;0.363301
9066;0.389924;0.363692
9200;0.308681;0.362895
9333;0.296065;0.36194
9466;0.299808;0.361065
9600;0.271001;0.359814
9733;0.281343;0.358739
9866;0.375911;0.358971
10000;0.377817;0.359223
