frame;time;average
0;5;0
1;3.9628;3.9628
2;3.9068;3.9348
3;4.1099;3.99317
4;3.8409;3.9551
5;3.6042;3.88492
6;3.5625;3.83118
7;4.0779;3.86643
8;3.9674;3.87905
9;3.6827;3.85723
10;3.6894;3.84045
11;4.0961;3.86369
12;3.9197;3.86836
13;3.4973;3.83982
14;3.557;3.81961
15;3.9466;3.82808
16;3.6858;3.81919
17;0.2633;3.61002
18;0.1371;3.41708
19;0.1365;3.24442
20;0.137;3.08905
21;0.1363;2.94844
22;0.1648;2.82191
23;0.3126;2.71281
24;0.1826;2.60738
25;0.1372;2.50858
26;0.1368;2.41735
27;0.1365;2.33288
28;0.1366;2.25444
29;0.1365;2.18141
30;0.1367;2.11325
31;0.1377;2.04952
32;0.1382;1.98979
33;0.0017;1.92955
34;0.0007;1.87282
35;0.0006;1.81933
36;0.0004;1.7688
37;0.0004;1.72101
38;0.0004;1.67573
39;0.0005;1.63277
40;0.0006;1.59197
41;0.0008;1.55316
42;0.0008;1.5162
43;0.0005;1.48095
44;0.0009;1.44731
45;0.0006;1.41516
46;0.0004;1.38441
47;0.0003;1.35496
48;0.0005;1.32674
49;0.0021;1.29971
50;0.0006;1.27372
51;0.0005;1.24876
52;0.0006;1.22476
53;0.0006;1.20166
54;0.0006;1.17942
55;0.0008;1.15799
56;0.0006;1.13732
57;0.0008;1.11738
58;0.001;1.09813
59;0.0009;1.07954
60;0.0008;1.06156
61;0.0006;1.04416
62;0.0006;1.02733
63;0.0005;1.01103
64;0.0007;0.995247
65;0.1566;0.982345
66;5;1.04322
67;4.0021;1.08738
68;3.8326;1.12775
69;3.7197;1.16532
70;4.1285;1.20765
71;3.6519;1.24207
72;3.7279;1.2766
73;0.1339;1.26095
74;0.1635;1.24611
75;3.5487;1.27682
76;4.1514;1.31464
77;3.6795;1.34535
78;3.7073;1.37563
79;3.5636;1.40333
80;0.1331;1.38745
81;0.1519;1.3722
82;4.0729;1.40513
83;3.8516;1.43461
84;4.6493;1.47288
85;3.8916;1.50133
86;3.9832;1.53019
87;3.6619;1.5547
88;4.1342;1.58401
89;0.1372;1.56775
90;0.1284;1.55176
91;3.5292;1.57349
92;0.13;1.5578
93;3.5737;1.57948
94;3.5588;1.60053
95;3.8933;1.62467
96;0.1343;1.60914
97;0.146;1.59406
98;3.8428;1.617
99;3.7536;1.63859
100;4.5852;1.66805
101;3.8966;1.69012
102;3.5538;1.70839
103;3.4456;1.72525
104;4.1905;1.74896
105;0.1374;1.73361
106;0.1282;1.71847
107;3.6422;1.73644
108;0.1305;1.72157
109;3.6867;1.7396
110;3.7308;1.7577
111;3.7859;1.77598
112;0.1328;1.76131
113;0.1467;1.74702
114;3.9345;1.76621
115;4.6734;1.79149
116;4.0031;1.81055
117;3.9171;1.82856
118;3.6858;1.84429
119;4.1861;1.86397
120;3.8456;1.88049
121;0.1445;1.86614
122;0.1292;1.8519
123;3.683;1.86679
124;3.5399;1.88028
125;4.0678;1.89778
126;3.7451;1.91244
127;3.5663;1.92547
128;0.1345;1.91147
129;0.3158;1.89911
130;4.7718;1.9212
131;4.1376;1.93812
132;3.9743;1.95355
133;4.2304;1.97067
134;3.9277;1.98527
135;3.865;1.9992
136;3.9036;2.0132
137;0.1431;1.99955
138;0.1357;1.98604
139;4.1316;2.00148
140;3.866;2.0148
141;3.8225;2.02762
142;3.7926;2.04005
143;4.1164;2.05457
144;0.1442;2.0413
145;0.1515;2.02827
146;4.097;2.04244
147;4.1268;2.05661
148;4.527;2.07331
149;3.77;2.08469
150;3.7069;2.09551
151;3.8308;2.107
152;3.7057;2.11752
153;0.1354;2.10456
154;0.1275;2.09173
155;3.7367;2.10234
156;3.576;2.11178
157;4.0127;2.12389
158;3.6189;2.13335
159;3.6241;2.14273
160;0.1343;2.13018
161;0.1459;2.11785
162;5;2.13564
163;3.9006;2.14647
164;3.8926;2.15712
165;3.6917;2.16642
166;4.0367;2.17769
167;0.1373;2.16547
168;3.7244;2.17475
169;0.1289;2.16264
170;0.1278;2.15067
171;3.7869;2.16024
172;3.93;2.17053
173;4.0683;2.1815
174;3.8456;2.19106
175;3.8668;2.20064
176;0.1414;2.18894
177;0.2382;2.17792
178;4.1162;2.18881
179;0.1671;2.17751
180;3.9285;2.18724
181;3.9296;2.19687
182;4.0412;2.207
183;3.777;2.21558
184;3.6462;2.22335
185;0.1348;2.21207
186;0.162;2.20104
187;3.5434;2.20822
188;4.0732;2.21814
189;3.6261;2.22559
190;3.7414;2.23357
191;3.5461;2.24044
192;0.1332;2.22947
193;0.1529;2.21871
194;4.3542;2.22971
195;0.157;2.21909
196;4.0931;2.22865
197;4.1643;2.23847
198;4.3851;2.24931
199;4.0147;2.25818
200;3.961;2.2667
201;0.1426;2.25613
202;0.258;2.24624
203;4.1663;2.2557
204;3.9065;2.26379
205;3.9033;2.27179
206;3.757;2.279
207;0.1434;2.26868
208;0.136;2.25843
209;0.1916;2.24854
210;4.1496;2.25759
211;0.1477;2.24759
212;4.1295;2.25647
213;4.7379;2.26812
214;4.1035;2.27669
215;3.9343;2.2844
216;3.8935;2.29185
217;0.1858;2.28215
218;0.1357;2.2723
219;0.178;2.26274
220;3.7463;2.26948
221;0.1447;2.25987
222;3.8262;2.26692
223;0.1359;2.25737
224;0.1356;2.2479
225;0.1524;2.23858
226;5;2.2508
227;0.1477;2.24154
228;3.8671;2.24867
229;3.8954;2.25586
230;3.9439;2.2632
231;3.891;2.27024
232;3.7988;2.27683
233;0.1434;2.26768
234;0.1354;2.25856
235;0.1361;2.24953
236;3.5518;2.25505
237;0.1284;2.24608
238;4.0334;2.25359
239;0.1331;2.24471
240;0.1281;2.23589
241;0.1432;2.22721
242;3.924;2.23422
243;0.1413;2.22561
244;3.6422;2.23142
245;5;2.24272
246;3.8786;2.24937
247;3.7711;2.25553
248;3.8382;2.26191
249;0.1656;2.25349
250;0.1442;2.24505
251;0.1287;2.23662
252;3.8977;2.24321
253;0.1372;2.23489
254;3.7601;2.24089
255;0.1396;2.23265
256;0.1373;2.22447
257;0.1535;2.21641
258;4.8504;2.22662
259;0.1489;2.2186
260;3.9519;2.22526
261;3.8371;2.23144
262;4.1085;2.2386
263;3.6598;2.24401
264;3.541;2.24892
265;0.1498;2.241
266;0.1359;2.23308
267;0.1382;2.22524
268;3.9583;2.23171
269;0.1364;2.22392
270;3.9702;2.23038
271;0.1425;2.22268
272;0.136;2.21501
273;0.1525;2.20745
274;4.054;2.21419
275;0.1402;2.20665
276;3.986;2.2131
277;4.5997;2.22171
278;3.7611;2.22725
279;0.1387;2.21976
280;3.7121;2.22509
281;0.1286;2.21763
282;0.1279;2.21022
283;0.1294;2.20287
284;4.0497;2.20937
285;0.138;2.20211
286;3.6644;2.20722
287;0.1292;2.19998
288;0.1281;2.19278
289;0.1587;2.18575
290;4.4507;2.19356
291;0.1702;2.1866
292;4.215;2.19355
293;3.9868;2.19967
294;3.6591;2.20463
295;0.1343;2.19762
296;4.0987;2.20404
297;0.135;2.19707
298;0.1282;2.19013
299;0.1275;2.18323
300;3.648;2.18811
301;0.1369;2.1813
302;3.8953;2.18697
303;0.1374;2.18021
304;0.1356;2.17348
305;0.251;2.16718
306;4.2693;2.17405
307;0.1548;2.16747
308;4.0924;2.17372
309;3.9066;2.17933
310;4.0969;2.18552
311;0.1455;2.17896
312;3.7817;2.18409
313;0.1301;2.17753
314;0.1279;2.171
315;0.1277;2.16452
316;3.49;2.16871
317;0.128;2.16227
318;3.5451;2.16662
319;0.1282;2.16023
320;0.1282;2.15388
321;0.1446;2.14762
322;3.9552;2.15324
323;0.1394;2.147
324;3.6468;2.15163
325;4.3267;2.15832
326;4.0518;2.16413
327;0.1378;2.15794
328;3.6426;2.16246
329;0.1293;2.15628
330;0.1279;2.15014
331;0.1276;2.14402
332;3.5581;2.14828
333;0.1281;2.14222
334;4.0517;2.14793
335;0.1682;2.14202
336;0.129;2.13603
337;0.1439;2.13012
338;3.9921;2.13563
339;0.1402;2.12974
340;4.7081;2.13733
341;3.9181;2.14255
342;3.9309;2.14778
343;0.1448;2.14194
344;3.66;2.14635
345;4.0157;2.15177
346;0.236;2.14623
347;0.1277;2.14042
348;3.5329;2.14442
349;0.1296;2.13865
350;3.4755;2.14247
351;0.1283;2.13673
352;0.1277;2.13102
353;0.2497;2.12569
354;4.2309;2.13164
355;0.1665;2.1261
356;3.6804;2.13047
357;3.6178;2.13463
358;4.1889;2.14037
359;0.1377;2.13479
360;3.5502;2.13872
361;3.6076;2.14279
362;0.1317;2.13724
363;0.1277;2.1317
364;3.4472;2.13532
365;0.1281;2.12982
366;4.0801;2.13515
367;0.1328;2.12969
368;0.1287;2.12425
369;0.1445;2.11889
370;4.0433;2.12409
371;0.1752;2.11884
372;4.3634;2.12487
373;4.3652;2.13088
374;3.9598;2.13577
375;3.6073;2.13969
376;4.1852;2.14513
377;3.5605;2.14888
378;0.1366;2.14356
379;3.7382;2.14777
380;3.4588;2.15122
381;0.1303;2.14591
382;4.0283;2.15084
383;0.1439;2.1456
384;0.1362;2.14037
385;0.1429;2.13518
386;4.0167;2.14005
387;0.1398;2.13489
388;4.2265;2.14028
389;4.4678;2.14626
390;3.8907;2.15073
391;3.7838;2.15491
392;4.0879;2.15984
393;3.9774;2.16447
394;0.1509;2.15936
395;3.8996;2.16376
396;3.8669;2.16806
397;0.1429;2.16296
398;4.007;2.16759
399;0.1469;2.16253
400;0.1918;2.1576
401;4.2281;2.16277
402;4.0525;2.16747
403;0.1929;2.16257
404;4.34;2.16796
405;3.9909;2.17246
406;3.6859;2.17619
407;0.1359;2.17117
408;4.1693;2.17607
409;3.5922;2.17953
410;0.1348;2.17455
411;0.1284;2.16957
412;3.7462;2.17339
413;0.1307;2.16845
414;3.5314;2.17174
415;0.1278;2.16681
416;0.1281;2.16191
417;3.9307;2.16616
418;3.8244;2.17012
419;0.1377;2.16527
420;4.3028;2.17036
421;4.781;2.17656
422;3.868;2.18057
423;0.1606;2.1758
424;3.7547;2.17952
425;4.0968;2.18403
426;0.1444;2.17924
427;0.1361;2.17446
428;3.8481;2.17837
429;0.2281;2.17382
430;3.7954;2.17759
431;0.1377;2.17286
432;0.1375;2.16815
433;4.026;2.17244
434;3.9117;2.17645
435;0.1459;2.17178
436;3.8928;2.17573
437;4.0942;2.18012
438;3.8907;2.18402
439;0.1383;2.17936
440;3.5847;2.18256
441;3.5394;2.18563
442;0.1292;2.18098
443;4.2453;2.18564
444;3.7852;2.18924
445;0.142;2.18464
446;3.8007;2.18827
447;0.136;2.18367
448;0.1355;2.1791
449;4.126;2.18344
450;3.9634;2.18739
451;0.1643;2.18291
452;3.8302;2.18655
453;4.0005;2.19056
454;3.784;2.19407
455;0.1357;2.18954
456;3.4652;2.19234
457;3.5185;2.19524
458;0.1293;2.19073
459;3.9665;2.1946
460;3.6561;2.19778
461;0.134;2.1933
462;3.5774;2.1963
463;0.1303;2.19183
464;0.1281;2.18739
465;4.0797;2.19146
466;3.8666;2.19505
467;0.1464;2.19066
468;3.999;2.19453
469;4.2898;2.199
470;4.0243;2.20288
471;0.1442;2.19851
472;3.726;2.20174
473;3.8224;2.20517
474;0.1368;2.20081
475;4.1282;2.20486
476;3.86;2.20834
477;0.1452;2.20402
478;3.7775;2.20731
479;0.1399;2.20299
480;0.1399;2.19869
481;3.9972;2.20243
482;4.0156;2.20619
483;0.138;2.20191
484;3.9072;2.20544
485;4.0941;2.20933
486;3.8746;2.21276
487;3.7693;2.21595
488;3.734;2.21906
489;4.0915;2.22289
490;0.137;2.21864
491;3.7255;2.2217
492;3.7691;2.22485
493;0.1395;2.22062
494;3.7189;2.22365
495;0.2434;2.21965
496;0.1592;2.2155
497;4.0909;2.21927
498;4.0341;2.22292
499;0.2106;2.21888
500;4.6379;2.22372
501;4.041;2.22735
502;3.7843;2.23045
503;3.6779;2.23333
504;4.0987;2.23703
505;3.8036;2.24013
506;0.1431;2.23599
507;3.8344;2.23914
508;3.725;2.24206
509;0.1556;2.23797
510;3.9348;2.24129
511;0.1329;2.23717
512;0.1278;2.23305
513;4.1691;2.23682
514;4.64;2.2415
515;0.1473;2.23743
516;4.0243;2.24089
517;3.8474;2.244
518;3.6722;2.24676
519;4.1207;2.25037
520;3.7291;2.25321
521;0.1425;2.24916
522;0.1355;2.24511
523;3.8204;2.24812
524;3.6538;2.25081
525;0.1383;2.24678
526;3.9174;2.24996
527;0.1417;2.24596
528;0.1358;2.24196
529;4.019;2.24532
530;4.776;2.25009
531;0.1563;2.24615
532;3.9001;2.24926
533;3.8958;2.25235
534;3.5647;2.25481
535;4.3385;2.2587
536;3.7712;2.26152
537;0.1443;2.25758
538;0.1357;2.25364
539;0.1825;2.24979
540;3.8058;2.25268
541;0.1372;2.24877
542;4.0398;2.25207
543;0.1571;2.24821
544;0.1359;2.24433
545;4.1186;2.24777
546;4.0551;2.25108
547;0.1461;2.24723
548;4.5483;2.25143
549;4.0233;2.25466
550;3.7552;2.25739
551;3.9571;2.26047
552;4.0382;2.26369
553;0.1438;2.25986
554;0.1408;2.25603
555;0.1416;2.25222
556;4.0833;2.25552
557;0.1374;2.25171
558;3.9024;2.25467
559;0.1356;2.25088
560;0.1694;2.24716
561;0.1537;2.24343
562;4.1379;2.2468
563;0.1468;2.24307
564;4.1714;2.24649
565;4.6422;2.25073
566;4.2155;2.2542
567;3.8916;2.25709
568;3.9226;2.26002
569;0.1419;2.2563
570;0.2137;2.25272
571;0.1784;2.24908
572;4.078;2.25228
573;0.1371;2.24859
574;3.9629;2.25158
575;0.1362;2.2479
576;0.1694;2.24429
577;0.1905;2.24073
578;5;2.2455
579;0.1469;2.24188
580;3.8654;2.24468
581;3.9282;2.24758
582;4.1143;2.25078
583;4.2494;2.25421
584;4.0475;2.25728
585;0.1475;2.25368
586;0.1358;2.25006
587;0.1369;2.24646
588;3.7908;2.24909
589;4.2549;2.25249
590;3.7442;2.25502
591;0.1413;2.25145
592;0.1358;2.24787
593;0.1511;2.24434
594;4.7541;2.24856
595;0.3009;2.24529
596;3.8025;2.2479
597;3.9061;2.25068
598;3.7864;2.25325
599;4.0994;2.25633
600;3.8158;2.25893
601;0.1374;2.2554
602;0.1282;2.25186
603;0.1504;2.24838
604;3.6292;2.25066
605;3.6975;2.25306
606;4.0411;2.25601
607;0.1429;2.25253
608;0.1358;2.24904
609;0.1516;2.2456
610;4.3012;2.24897
611;4.8282;2.25319
612;4.1583;2.2563
613;4.1042;2.25932
614;4.01;2.26217
615;0.145;2.25873
616;4.1238;2.26176
617;0.1423;2.25832
618;0.1997;2.25499
619;0.1358;2.25157
620;3.8542;2.25415
621;3.8933;2.25679
622;3.6443;2.25902
623;0.196;2.25571
624;0.1417;2.25232
625;0.159;2.24897
626;4.1211;2.25196
627;3.7835;2.25441
628;4.7111;2.25832
629;3.7755;2.26073
630;3.8678;2.26328
631;0.1446;2.25992
632;3.7458;2.26227
633;0.1367;2.25892
634;0.1359;2.25557
635;0.3374;2.25255
636;3.8995;2.25514
637;3.6646;2.25735
638;3.6229;2.25949
639;0.1322;2.25616
640;0.1278;2.25283
641;0.145;2.24955
642;3.8582;2.25205
643;4.1272;2.25497
644;3.8217;2.2574
645;4.1913;2.2604
646;3.8024;2.26279
647;0.1359;2.2595
648;3.6097;2.26158
649;0.1283;2.2583
650;0.1283;2.25502
651;0.1286;2.25175
652;3.6926;2.25396
653;3.8751;2.25644
654;3.8004;2.25881
655;0.144;2.25558
656;0.1364;2.25235
657;0.1518;2.24915
658;5;2.25333
659;3.9812;2.25595
660;3.9545;2.25853
661;3.7555;2.26079
662;4.0458;2.26349
663;0.1366;2.26028
664;3.8004;2.2626
665;0.1385;2.2594
666;0.1364;2.25622
667;0.1351;2.25304
668;3.7274;2.25524
669;4.0252;2.25789
670;3.7714;2.26015
671;0.1474;2.257
672;0.1283;2.25383
673;0.1429;2.25069
674;4.3212;2.25377
675;4.6619;2.25733
676;3.9568;2.25985
677;3.8062;2.26213
678;4.108;2.26485
679;3.7727;2.26708
680;3.6522;2.26911
681;0.1549;2.26601
682;0.1361;2.26288
683;0.1996;2.25986
684;3.7706;2.26207
685;4.0449;2.26468
686;3.7394;2.26682
687;0.1431;2.26373
688;0.2002;2.26073
689;0.1508;2.25767
690;4.0215;2.26023
691;4.8126;2.26392
692;3.9395;2.26634
693;3.8206;2.26859
694;4.0547;2.27116
695;3.7479;2.27328
696;3.7128;2.27535
697;0.1373;2.27229
698;0.1283;2.26921
