frame;time
0;0.0085916
1;0.0084834
2;0.0083397
3;0.0083825
4;0.0087001
5;0.0087087
6;0.0087145
7;0.0087339
8;0.0083365
9;0.0086229
10;0.0083028
11;0.008594
12;0.0084135
13;0.0083078
14;0.0084199
15;0.0080652
16;0.0082579
17;0.000442
18;0.0087355
19;0.0085109
20;0.0084527
21;0.0084785
22;0.008225
23;0.0003885
24;0.0091168
25;0.0003642
26;0.0083289
27;0.0090334
28;0.0004679
29;0.00046
30;0.0085383
31;0.008568
32;0.0021985
33;0.0003476
34;7.1e-06
35;9e-07
36;8e-07
37;5e-07
38;7e-07
39;8e-07
40;6e-07
41;1.1e-06
42;0.0093068
43;1.1e-06
44;7e-07
45;7e-07
46;7e-07
47;8e-07
48;7e-07
49;7e-07
50;7e-07
51;1.6e-06
52;5e-07
53;1.1e-06
54;5e-07
55;7e-07
56;6e-07
57;5e-07
58;6e-07
59;8e-07
60;8e-07
61;2.2e-06
62;7e-07
63;7e-07
64;5e-07
65;5e-07
66;9e-07
67;8e-07
68;1.4e-06
69;5e-07
70;8e-07
71;4e-07
72;4e-07
73;4e-07
74;4e-07
75;4e-07
76;7e-07
77;8e-07
78;1.8e-06
79;3.9e-06
80;1e-06
81;6e-07
82;5.4e-06
83;1.9e-06
84;6e-07
85;6.2e-06
86;8e-07
87;6e-07
88;6e-07
89;5e-07
90;8e-07
91;5e-07
92;5e-07
93;0.0004448
94;1.1e-06
95;8e-07
96;7e-07
97;6e-07
98;1e-06
99;7e-07
100;6e-07
101;7e-07
102;3.5e-06
103;1.7e-06
104;1.8e-06
105;1.4e-06
106;1.4e-06
107;1.4e-06
108;1.7e-06
109;1.4e-06
110;5e-07
111;1.3e-06
112;1.6e-06
113;2e-06
114;2.4e-06
115;5.2e-06
116;1.8e-06
117;1.5e-06
118;1.5e-06
119;1.5e-06
120;4e-07
121;4e-07
122;2e-07
123;3e-07
124;4e-07
125;4e-07
126;3e-07
127;6e-07
128;4e-07
129;4e-07
130;6e-07
131;5e-07
132;6e-07
133;5e-07
134;1.6e-06
135;4e-07
136;1.7e-06
137;5e-07
138;6e-07
139;5e-07
140;5e-07
141;6e-07
142;5e-07
143;4e-07
144;1.1e-06
145;5e-07
146;8e-07
147;8e-07
148;8e-07
149;4e-06
150;8e-07
151;6e-07
152;7e-07
153;2.3e-06
154;4e-07
155;4e-07
156;4e-07
157;4e-07
158;4e-07
159;6e-07
160;5e-07
161;5.9e-06
162;6e-07
163;8e-07
164;1.1e-06
165;7e-07
166;8e-07
167;6e-07
168;3.1e-06
169;1e-06
170;1.7e-06
171;7e-07
172;3e-07
173;3e-07
174;4e-07
175;4e-07
176;3e-07
177;4e-07
178;6e-07
179;3e-07
180;4e-07
181;5e-07
182;7e-07
183;9e-07
184;6e-07
185;4e-07
186;3e-07
187;8.9e-06
188;7e-07
189;6e-07
190;5e-07
191;4e-07
192;6e-07
193;5e-07
194;5e-07
195;8e-07
196;5e-07
197;1.1e-06
198;1e-06
199;8e-07
200;1e-06
201;8e-07
202;6e-07
203;3.1e-06
204;1.3e-06
205;3e-07
206;4e-07
207;3e-07
208;4e-07
209;4e-07
210;2e-07
211;4e-07
212;1.1e-06
213;4e-07
214;7e-07
215;4e-07
216;5e-07
217;1.9e-06
218;6e-07
219;4e-07
220;4e-07
221;1.2e-06
222;4e-07
223;4e-07
224;4e-07
225;3e-07
226;4e-07
227;3e-07
228;3e-07
229;5e-07
230;5e-07
231;4e-07
232;4e-07
233;4e-07
234;6e-07
235;1e-06
236;5e-07
237;5e-07
238;1.4e-06
239;4e-07
240;3e-07
241;3e-07
242;3e-07
243;3e-07
244;3e-07
245;4e-07
246;7e-07
247;4e-07
248;4e-07
249;5e-07
250;6e-07
251;6e-07
252;1.7e-06
253;5e-07
254;4e-07
255;6.5e-06
256;7e-07
257;6e-07
258;5e-07
259;5e-07
260;7e-07
261;4e-07
262;5e-07
263;8e-07
264;5e-07
265;6e-07
266;6e-07
267;7e-07
268;1.2e-06
269;3.2e-06
270;9e-07
271;7e-07
272;1.7e-06
273;4e-07
274;4e-07
275;3e-07
276;3e-07
277;3e-07
278;2e-07
279;4e-07
280;4.9e-06
281;4e-07
282;9e-07
283;2.8e-06
284;1.3e-06
285;1.1e-06
286;9e-07
287;3e-07
288;1.6e-06
289;1.4e-06
290;4e-07
291;4e-07
292;1.2e-06
293;4e-07
294;4e-07
295;4e-07
296;4e-07
297;2.4e-06
298;4e-07
299;4e-07
300;6e-07
301;8e-07
302;9e-07
303;6e-07
304;3e-07
305;7e-07
306;5.8e-06
307;9e-07
308;7e-07
309;6e-07
310;6e-07
311;5e-07
312;5e-07
313;8e-07
314;7e-07
315;6e-07
316;4e-07
317;5e-07
318;5e-07
319;1.1e-06
320;8e-07
321;9e-07
322;9e-07
323;1.5e-06
324;3e-07
325;3e-07
326;7e-07
327;3e-07
328;4e-07
329;4e-07
330;3e-07
331;3.4e-06
332;3e-07
333;4e-07
334;3e-07
335;6e-07
336;6e-07
337;2.8e-06
338;1e-06
339;4e-07
340;1.2e-06
341;5e-07
342;5e-07
343;3e-07
344;4e-07
345;6e-07
346;4e-07
347;3e-07
348;5e-07
349;4e-07
350;4e-07
351;5e-07
352;1e-06
353;9e-07
354;2.6e-06
355;4e-07
356;4e-07
357;1.5e-06
358;4e-07
359;4e-07
360;5e-07
361;3e-07
362;3e-07
363;2e-07
364;4e-07
365;2.2e-06
366;4e-07
367;8e-07
368;7e-07
369;1.3e-06
370;1.8e-06
371;8e-07
372;5e-07
373;1.3e-06
374;6.4e-06
375;2.1e-06
376;0.0088917
377;0.0088269
378;2.5e-06
379;1.6e-06
380;2.6e-06
381;0.000414
382;6e-07
383;0.0085195
384;0.0085615
385;2.8e-06
386;1.6e-06
387;0.0003653
388;0.0083817
389;0.000278
390;1.9e-06
391;6.1e-06
392;6e-07
393;9e-07
394;7e-07
395;5e-07
396;5e-07
397;4e-07
398;7e-07
399;1.9e-06
400;7e-07
401;7e-07
402;8e-07
403;6e-07
404;1.3e-06
405;1e-06
406;8e-07
407;4e-07
408;1.5e-06
409;5e-07
410;8e-07
411;8e-07
412;5e-07
413;5e-07
414;5e-07
415;5e-07
416;5e-07
417;6e-07
418;8e-07
419;1e-06
420;9e-07
421;1.3e-06
422;9e-07
423;8e-07
424;6e-07
425;1.5e-06
426;3e-07
427;1.2e-06
428;7e-07
429;3e-07
430;3e-07
431;2e-07
432;6e-07
433;6e-07
434;7e-07
435;6e-07
436;1.1e-06
437;2.1e-06
438;1.6e-06
439;1.2e-06
440;2.7e-06
441;9e-07
442;1.4e-06
443;4e-07
444;7e-07
445;6e-07
446;4e-07
447;4e-07
448;3e-07
449;7e-07
450;6e-07
451;4e-07
452;6e-07
453;6e-07
454;7e-07
455;7e-07
456;6e-07
457;4e-07
458;3e-07
459;7.2e-06
460;7e-07
461;1.3e-06
462;5e-07
463;6e-07
464;5e-07
465;6e-07
466;6e-07
467;4e-07
468;8e-07
469;1.1e-06
470;9e-07
471;2.1e-06
472;1e-06
473;6e-07
474;4.2e-06
475;3.6e-06
476;1.5e-06
477;4e-07
478;1.1e-06
479;6e-07
480;3e-07
481;3e-07
482;3e-07
483;5e-07
484;5e-06
485;6e-07
486;7e-07
487;7e-07
488;8e-07
489;1.8e-06
490;1.1e-06
491;7e-07
492;4e-07
493;1.3e-06
494;4e-07
495;6e-07
496;5e-07
497;4e-07
498;4e-07
499;2.1e-06
500;4e-07
501;4e-07
502;4e-07
503;6e-07
504;4e-07
505;5e-07
506;9e-07
507;8e-07
508;5e-07
509;3e-07
510;1.3e-06
511;6e-07
512;5e-07
513;6e-07
514;3e-07
515;4e-07
516;3e-07
517;5e-07
518;4e-07
519;4e-07
520;7e-07
521;7e-07
522;9e-07
523;1e-06
524;3.9e-06
525;6e-07
526;5e-07
527;6e-06
528;7e-07
529;9e-07
530;5e-07
531;5e-07
532;6e-07
533;5e-07
534;6e-07
535;4e-07
536;9e-07
537;7e-07
538;7e-07
539;1.2e-06
540;1.5e-06
541;1.2e-06
542;7e-07
543;6e-07
544;1.8e-06
545;5e-07
546;1e-06
547;6e-07
548;3e-07
549;4e-07
550;4e-07
551;6e-07
552;4.7e-06
553;7e-07
554;1.2e-06
555;1.2e-06
556;1.5e-06
557;8e-07
558;8e-07
559;4.6e-06
560;8e-07
561;1.5e-06
562;4e-07
563;2.3e-06
564;1.5e-06
565;3e-07
566;4e-07
567;3e-07
568;1.4e-06
569;3e-07
570;1.4e-06
571;2.3e-06
572;7e-07
573;5e-07
574;4.4e-06
575;2e-06
576;1.6e-06
577;4e-07
578;1.5e-06
579;5e-07
580;4e-07
581;4e-07
582;5e-07
583;6e-07
584;5e-07
585;4e-07
586;4e-07
587;3e-07
588;4e-07
589;6e-07
590;8e-07
591;8e-07
592;5e-07
593;4e-07
594;6e-07
595;1.3e-06
596;4e-07
597;8e-07
598;4e-07
599;3e-07
600;7e-07
601;3e-07
602;5e-07
603;5e-07
604;5e-07
605;4e-07
606;8e-07
607;1.7e-06
608;1.1e-06
609;7e-07
610;7e-07
611;4e-07
612;1.2e-06
613;3e-07
614;4e-07
615;6e-07
616;3e-07
617;4e-07
618;3e-07
619;3e-07
620;5e-07
621;4e-07
622;3e-07
623;3e-07
624;5e-07
625;7e-07
626;2.1e-06
627;3e-07
628;4e-07
629;1.2e-06
630;4e-07
631;3e-07
632;4e-07
633;2e-07
634;4e-07
635;4e-07
636;3e-07
637;1e-06
638;4e-07
639;4e-07
640;5e-07
641;6e-07
642;9e-07
643;1.2e-06
644;5e-07
645;5e-07
646;7.1e-06
647;6e-07
648;7e-07
649;4e-07
650;4e-07
651;6e-07
652;5e-07
653;3e-07
654;4e-07
655;3e-07
656;4e-07
657;1.1e-06
658;8e-07
659;6e-07
660;4.3e-06
661;2.08e-05
662;7e-07
663;1.5e-06
664;4e-07
665;7e-07
666;5e-07
667;4e-07
668;8e-07
669;4e-07
670;6e-07
671;5.1e-06
672;5e-07
673;1.1e-06
674;8e-07
675;5e-07
676;1.1e-06
677;1.3e-06
678;7e-07
679;4e-07
680;1.3e-06
681;4e-07
682;3e-07
683;1.4e-06
684;2e-07
685;4e-07
686;3e-07
687;3e-07
688;4e-07
689;4e-07
690;4e-07
691;4e-07
692;7e-07
693;7e-07
694;9e-07
695;5e-07
696;8e-07
697;1.9e-06
698;7e-07
699;4e-07
700;3e-07
701;5e-07
702;6e-07
703;5e-07
704;4e-07
705;5e-07
706;3e-07
707;3e-07
708;7e-07
709;8e-07
