frame;time;average
0;5;0
1;4.1227;4.1227
2;3.9019;4.0123
3;3.7652;3.92993
4;4.3257;4.02888
5;3.9911;4.02132
6;3.781;3.98127
7;3.7756;3.95189
8;4.1871;3.98129
9;3.7833;3.95929
10;3.6822;3.93158
11;3.7716;3.91704
12;4.0382;3.92713
13;3.6924;3.90908
14;3.6398;3.88984
15;3.7048;3.87751
16;4.1604;3.89519
17;0.0001;3.66606
18;0.0002;3.46241
19;0.0001;3.28018
20;0.0001;3.11618
21;0.0001;2.96779
22;0.0002;2.8329
23;0.0002;2.70974
24;0.0001;2.59684
25;0.0002;2.49297
26;0.0002;2.3971
27;0.0001;2.30832
28;0.0001;2.22588
29;0.0002;2.14913
30;0.0001;2.0775
31;0.0002;2.01049
32;0.0002;1.94767
33;0.0004;1.88866
34;0.0001;1.83311
35;0.0001;1.78074
36;0.0001;1.73128
37;0.0001;1.68449
38;0.0002;1.64017
39;0.0001;1.59812
40;0.0001;1.55817
41;4.102;1.62021
42;4.9172;1.69871
43;3.973;1.7516
44;3.9001;1.80043
45;3.7271;1.84324
46;4.2273;1.89507
47;3.771;1.93499
48;3.7801;1.97343
49;3.6338;2.00731
50;4.0528;2.04822
51;3.7948;2.08247
52;5;2.13857
53;3.9236;2.17225
54;4.0848;2.20767
55;3.7436;2.2356
56;4.2352;2.2713
57;3.8436;2.29889
58;3.7449;2.32382
59;3.6447;2.34621
60;3.9874;2.37356
61;3.792;2.39681
62;3.736;2.41841
63;4.1983;2.44667
64;3.9055;2.46946
65;3.8699;2.491
66;4.4056;2.52001
67;3.9755;2.54174
68;3.7285;2.55919
69;3.6249;2.57463
70;3.8019;2.59217
71;3.8282;2.60958
72;3.6295;2.62374
73;3.9666;2.64214
74;4.1237;2.66216
75;3.9646;2.67952
76;4.9639;2.70958
77;3.8666;2.72461
78;3.9256;2.74001
79;3.7282;2.75251
80;4.1143;2.76954
81;3.7325;2.78142
82;3.7166;2.79283
83;4.123;2.80886
84;3.8186;2.82088
85;4.1189;2.83615
86;4.833;2.85937
87;3.954;2.87195
88;3.8721;2.88331
89;3.6395;2.89181
90;4.2725;2.90715
91;3.7503;2.91642
92;3.7336;2.9253
93;3.8932;2.93571
94;3.9359;2.94635
95;3.8508;2.95587
96;5;2.97716
97;3.7849;2.98549
98;3.6241;2.992
99;3.7445;2.99961
100;4.0581;3.01019
101;3.8408;3.01841
102;3.7626;3.02571
103;3.7586;3.03283
104;4.0215;3.04233
105;3.8361;3.04989
106;3.7083;3.0561
107;3.8946;3.06394
108;4.0643;3.0732
109;3.9791;3.08151
110;4.4633;3.09407
111;4.1401;3.1035
112;3.9909;3.11142
113;3.6362;3.11607
114;4.458;3.12784
115;3.8506;3.13412
116;3.8429;3.14023
117;3.73;3.14527
118;4.2481;3.15462
119;3.6508;3.15879
120;4.6269;3.17102
121;4.0027;3.1779
122;3.9241;3.18401
123;3.639;3.18771
124;4.2396;3.19619
125;3.8553;3.20147
126;3.7975;3.2062
127;3.5941;3.20925
128;4.2048;3.21703
129;3.6496;3.22038
130;3.7079;3.22413
131;4.6116;3.23472
132;4.1311;3.24152
133;3.837;3.24599
134;4.152;3.25275
135;3.7627;3.25653
136;3.8775;3.2611
137;3.6684;3.26407
138;4.181;3.27071
139;3.7431;3.27411
140;3.7573;3.27756
141;5;3.28978
142;3.8716;3.29388
143;3.897;3.2981
144;4.0722;3.30347
145;4.5618;3.31215
146;3.9221;3.31633
147;3.7965;3.31959
148;4.0881;3.32479
149;3.9428;3.32893
150;4.7426;3.33836
151;3.9159;3.34218
152;3.844;3.34548
153;4.1608;3.35081
154;3.8773;3.35423
155;4.0986;3.35903
156;4.541;3.36661
157;3.7402;3.36899
158;3.6289;3.37064
159;3.6841;3.37261
160;4.5544;3.37999
161;4.1287;3.38464
162;4.1885;3.38961
163;3.9823;3.39324
164;3.932;3.39653
165;4.438;3.40284
166;3.813;3.40531
167;3.7515;3.40738
168;3.9917;3.41086
169;4.0788;3.41481
170;3.9622;3.41803
171;4.7431;3.42578
172;3.9504;3.42883
173;3.8119;3.43105
174;4.15;3.43518
175;3.7695;3.43709
176;3.7393;3.43881
177;4.8085;3.44654
178;3.9124;3.44916
179;3.9705;3.45207
180;4.0517;3.45541
181;3.8764;3.45773
182;3.8631;3.45996
183;5;3.46837
184;4.412;3.4735
185;4.0309;3.47652
186;4.7514;3.48337
187;3.9853;3.48605
188;3.9603;3.48858
