frame;time
0;0.0087285
1;0.0085355
2;0.0084281
3;0.0084667
4;0.0083791
5;0.0082818
6;0.0085129
7;0.0098403
8;0.0091552
9;0.0086976
10;0.0089331
11;0.0087183
12;0.0086012
13;0.0086262
14;0.0083016
15;0.0083998
16;0.008201
17;0.000605
18;0.0086462
19;0.0086123
20;0.008536
21;0.0083236
22;0.0082094
23;0.0006317
24;0.0083134
25;0.000356
26;0.0084915
27;0.0082301
28;0.0003598
29;0.0003789
30;0.0084201
31;0.0083389
32;0.0021792
33;0.0003812
34;0.0004118
35;0.0088781
36;0.0092751
37;0.0088411
38;0.0087848
39;0.0085445
40;0.0084754
41;0.0003779
42;0.0081367
43;0.0079354
44;0.0081499
45;0.0088586
46;0.0095753
47;0.0086633
48;0.0086164
49;0.0021385
50;0.0081946
51;0.0003905
52;0.0003584
53;0.0086034
54;0.0092277
55;0.0085621
56;0.0004343
57;0.008082
58;0.0003585
59;0.0085235
60;0.0079131
61;0.008751
62;0.0085202
63;0.0088739
64;0.0083898
65;0.0082257
66;0.0026288
67;0.0085453
68;0.0004151
69;0.0090983
70;0.0092139
71;0.0088429
72;0.0084398
73;0.0084072
74;0.0003873
75;0.0003461
76;0.0083008
77;0.0082901
78;0.0084268
79;0.0003668
80;0.0082594
81;0.0003578
82;0.0081462
83;0.0023679
84;0.0081655
85;0.0003948
86;0.0096863
87;0.0086205
88;0.0091432
89;0.0084223
90;0.0086424
91;0.0003991
92;0.0003655
93;0.0083909
94;0.0080949
95;0.008368
96;0.0004004
97;0.008195
98;0.0003964
99;0.0086369
100;0.0002389
101;0.0082745
102;0.0003926
103;0.0087433
104;0.0004248
105;0.0003737
106;0.0003458
107;0.0090811
108;0.000452
109;0.0003461
110;0.0003451
111;0.00035
112;0.0003845
113;0.0003444
114;0.0003792
115;0.0003442
116;0.0003452
117;0.0002253
118;0.0003449
119;0.0004337
120;0.0003876
121;0.0004254
122;0.0003597
123;0.0003444
124;0.0003817
125;0.0096509
126;0.0004526
127;0.0004051
128;0.0003836
129;0.0090832
130;0.0004069
131;0.0003658
132;0.0004116
133;0.0003986
134;0.0003857
135;0.0003648
136;0.0004547
137;0.0101464
138;0.0004169
139;0.0004023
140;0.0003657
141;0.0088396
142;0.0003557
143;0.0003447
144;0.0003441
145;0.0004588
146;0.0003442
147;0.0003436
148;0.0003445
149;0.0003444
150;0.0003786
151;0.0002258
152;0.0003663
153;0.0004388
154;0.0094306
155;0.0003872
156;0.0003473
157;0.0003641
158;0.008491
159;0.0003497
160;0.0003448
161;0.000349
162;0.0003793
163;0.0003443
164;0.0003785
165;0.0003492
166;0.0003794
167;0.0003432
168;0.0002535
169;0.0003494
170;0.0004317
171;0.0094718
172;0.0003822
173;0.0004566
174;0.0003448
175;0.0087319
176;0.0003476
177;0.0003799
178;0.0085071
179;0.0003477
180;0.0003786
181;0.0003456
182;0.0085299
183;0.0003484
184;0.0003446
185;0.008562
186;0.0003918
187;0.0089023
188;0.0004475
189;0.0003812
190;0.0092968
191;0.0088053
192;0.0004074
193;0.0003684
194;0.0088365
195;0.0003694
196;0.0003999
197;0.0003654
198;0.0087837
199;0.0004261
200;0.0003775
201;0.0002461
202;0.0087277
203;0.0004788
204;0.0087003
205;0.0004096
206;0.0006165
207;0.0089968
208;0.0083601
209;0.0004008
210;0.0003664
211;0.0086491
212;0.0003848
213;0.0003768
214;0.0003785
215;0.0085436
216;0.0003483
217;0.0004799
218;0.0002255
219;0.0081498
220;0.0003932
221;0.0087543
222;0.0004029
223;0.0004084
224;0.0095575
225;0.0087652
226;0.0003779
227;0.0003788
228;0.0084248
229;0.0003466
230;0.0003438
231;0.000344
232;0.0084562
233;0.0003506
234;0.0003803
235;0.0002244
236;0.0082833
237;0.0004124
238;0.0087446
239;0.0004196
240;0.0003466
241;0.0095416
242;0.0087427
243;0.0004712
244;0.0003458
245;0.0082894
246;0.0003819
247;0.0003447
248;0.0004143
249;0.0084054
250;0.0003556
251;0.0003446
252;0.0002249
253;0.0083333
254;0.0005258
255;0.0083527
256;0.0088071
257;0.0086517
258;0.0003739
259;0.0084237
260;0.0003532
261;0.000345
262;0.0081723
263;0.0082635
264;0.0081567
265;0.0003625
266;0.0082966
267;0.000353
268;0.0084323
269;0.0002327
270;0.0083337
271;0.0004274
272;0.0096219
273;0.0086598
274;0.0088484
275;0.0004674
276;0.0083901
277;0.0004241
278;0.0003478
279;0.0080713
280;0.008068
281;0.0082312
282;0.0003626
283;0.0081405
284;0.0003577
285;0.0079444
286;0.0002315
287;0.0083659
288;0.0003949
289;0.0097189
290;0.0083938
291;0.0093335
292;0.0004718
293;0.0090641
294;0.0005418
295;0.0003675
296;0.0088626
297;0.0090432
298;0.0091895
299;0.0004058
300;0.0089602
301;0.0003987
302;0.0087417
303;0.0025845
304;0.008894
305;0.0004214
306;0.008972
307;0.0086961
308;0.0089124
309;0.0004234
310;0.0086061
311;0.0003766
312;0.0086451
313;0.0084265
314;0.008415
315;0.0082222
316;0.0003702
317;0.0083067
318;0.0003607
319;0.0083558
320;0.0022032
321;0.0080985
322;0.0004263
323;0.0093381
324;0.0088693
325;0.0088137
326;0.000378
327;0.0083589
328;0.0003588
329;0.008672
330;0.0082712
331;0.0085615
332;0.0083385
333;0.0004009
334;0.0087024
335;0.0003803
336;0.0087665
337;0.002421
338;0.008723
339;0.0004293
340;0.0093138
341;0.0090172
342;0.0087232
343;0.0004334
344;0.008549
345;0.0003659
346;0.0083002
347;0.0081956
348;0.0083781
349;0.0082583
350;0.0004031
351;0.0083625
352;0.000362
353;0.0084063
354;0.0021928
355;0.0084968
356;0.0003924
357;0.0093274
358;0.0003818
359;0.0003497
360;0.0003793
361;0.00847
362;0.0004525
363;0.008601
364;0.0083237
365;0.0005014
366;0.0003789
367;0.0003452
368;0.0086359
369;0.0004106
370;0.0088291
371;0.0023002
372;0.0086181
373;0.0004556
374;0.0091156
375;0.0093792
376;0.0086513
377;0.0003792
378;0.0085139
379;0.0005683
380;0.0003479
381;0.0082178
382;0.008151
383;0.0084296
384;0.0003677
385;0.008368
386;0.0003933
387;0.000346
388;0.0002535
389;0.0083721
390;0.0004086
391;0.000377
392;0.0094347
393;0.0085694
394;0.000415
395;0.000345
396;0.0005593
397;0.0004323
398;0.0085483
399;0.0084203
400;0.0080964
401;0.0003619
402;0.0082894
403;0.000356
404;0.000346
405;0.0002251
406;0.0086556
407;0.0004154
408;0.008942
409;0.0086796
410;0.0084419
411;0.0005113
412;0.0085321
413;0.0003624
414;0.0003801
415;0.0082383
416;0.0086976
417;0.0087593
418;0.0004078
419;0.0085763
420;0.0003777
421;0.0003789
422;0.0002389
423;0.0086883
424;0.0004297
425;0.0094433
426;0.008728
427;0.0088583
428;0.0082469
429;0.0085755
430;0.0003691
431;0.0003844
432;0.0085323
433;0.0084589
434;0.0085237
435;0.0004233
436;0.0082337
437;0.000385
438;0.0003442
439;0.0002596
440;0.0083994
441;0.0005129
442;0.0085408
443;0.0089174
444;0.0086093
