frame;time;average
0;5;0
1;1.6884;1.6884
2;1.2624;1.4754
3;1.2162;1.389
4;1.233;1.35
5;1.1776;1.31552
6;1.1762;1.2923
7;1.2421;1.28513
8;1.529;1.31561
9;1.5077;1.33696
10;1.2871;1.33197
11;1.1819;1.31833
12;1.25;1.31263
13;1.1757;1.3021
14;1.1776;1.29321
15;1.1754;1.28535
16;1.1902;1.27941
17;0.0104;1.20476
18;0.0051;1.13811
19;0.0047;1.07846
20;0.0045;1.02476
21;0.0047;0.976186
22;0.0044;0.932014
23;0.0045;0.891687
24;0.0047;0.854729
25;0.0044;0.820716
26;0.0045;0.789323
27;0.0047;0.760263
28;0.0046;0.733275
29;0.0044;0.708141
30;0.0044;0.684683
31;0.1668;0.667977
32;0.0247;0.647875
33;0.0017;0.628294
34;0.0008;0.609838
35;0.0005;0.592429
36;0.0005;0.575986
37;0.0006;0.560435
38;0.0005;0.5457
39;0.0006;0.531723
40;0.0008;0.51845
41;0.001;0.505829
42;0.0015;0.493821
43;0.0011;0.482363
44;0.0006;0.471414
45;0.0009;0.460958
46;0.0006;0.45095
47;0.0003;0.441362
48;0.0005;0.432177
49;0.0017;0.423392
50;0.0008;0.41494
51;0.0005;0.406814
52;0.0005;0.399
53;0.0005;0.391481
54;0.0004;0.384239
55;0.0006;0.377264
56;0.001;0.370545
57;0.001;0.364061
58;0.0022;0.357822
59;0.0012;0.351778
60;0.0008;0.345928
61;0.0008;0.34027
62;0.0023;0.334819
63;0.0021;0.329538
64;0.0011;0.324406
65;0.0014;0.319437
66;0.0005;0.314605
67;0.0004;0.309915
68;0.0004;0.305363
69;0.0004;0.300943
70;0.0004;0.29665
71;0.0004;0.292477
72;0.0004;0.288421
73;0.0004;0.284475
74;0.0004;0.280636
75;0.0009;0.276907
76;0.002;0.273289
77;0.0008;0.269751
78;0.0015;0.266312
79;0.0005;0.262947
80;0.0004;0.259665
81;0.0104;0.256588
82;1.2933;0.26923
83;1.5484;0.284642
84;2.0536;0.305701
85;1.304;0.317446
86;0.9663;0.324991
87;1.4893;0.338374
88;1.8546;0.355603
89;0.0107;0.351728
90;0.0042;0.347867
91;1.892;0.364835
92;0.0151;0.361034
93;1.0901;0.368873
94;1.9397;0.385584
95;1.3314;0.39554
96;0.0044;0.391466
97;0.0095;0.387528
98;0.0013;0.383587
99;0.0006;0.379718
100;0.0005;0.375926
101;0.0005;0.372209
102;0.0008;0.368568
103;0.0005;0.364994
104;0.0005;0.361489
