frame;time;average
133;0.00271334;0.00271334
266;0.00141067;0.002062
400;0.000222666;0.00144889
533;0.124483;0.0322073
666;0.153259;0.0564176
800;0.147549;0.0716062
933;0.193351;0.0889983
1066;0.13708;0.0950085
1200;0.29786;0.117548
1333;0.154661;0.121259
1466;0.190643;0.127567
1600;0.321357;0.143716
1733;0.243305;0.151376
1866;0.228753;0.156903
2000;0.210579;0.160482
2133;0.21228;0.163719
2266;0.418631;0.178714
2400;0.230336;0.181582
2533;0.209443;0.183048
2666;0.219613;0.184876
2800;0.266939;0.188784
2933;0.234775;0.190875
3066;0.195708;0.191085
3200;0.317256;0.196342
3333;0.247828;0.198401
3466;0.205767;0.198685
3600;0.432128;0.207331
3733;0.210964;0.20746
3866;0.360309;0.212731
4000;0.300647;0.215662
4133;0.211799;0.215537
4266;0.222169;0.215744
4400;0.310119;0.218604
4533;0.275613;0.220281
4666;0.208487;0.219944
4800;0.163064;0.218364
4933;0.190711;0.217616
5066;0.177668;0.216565
5200;0.197255;0.21607
5333;0.190975;0.215443
5466;0.218961;0.215529
5600;0.397064;0.219851
5733;0.267161;0.220951
5866;0.224396;0.221029
6000;0.224356;0.221103
6133;0.319948;0.223252
6266;0.222899;0.223245
6400;0.268995;0.224198
6533;0.300061;0.225746
6666;0.224408;0.225719
6800;0.246299;0.226123
6933;0.308429;0.227705
7066;0.213657;0.22744
7200;0.172305;0.226419
7333;0.197393;0.225892
7466;0.190607;0.225262
7600;0.20676;0.224937
7733;0.192412;0.224376
7866;0.178617;0.223601
8000;0.259521;0.224199
8133;0.318461;0.225745
8266;0.313393;0.227158
8400;0.194359;0.226638
8533;0.235059;0.226769
8666;0.198611;0.226336
8800;0.202759;0.225979
8933;0.202615;0.22563
9066;0.259115;0.226122
9200;0.209287;0.225878
9333;0.283109;0.226696
9466;0.229051;0.226729
9600;0.193151;0.226263
9733;0.226788;0.22627
9866;0.323453;0.227583
10000;0.256783;0.227973
