frame;time;average
133;1.2e-05;1.2e-05
266;0.00016;8.6e-05
400;2e-05;6.4e-05
533;5.33333e-06;4.93333e-05
666;0.0003;9.94667e-05
800;0.000304;0.000133556
933;1.73333e-05;0.000116952
1066;0.000185333;0.0001255
1200;0.000274667;0.000142074
1333;2.93333e-05;0.0001308
1466;1.6e-05;0.000120364
1600;6.66667e-06;0.000110889
1733;8e-06;0.000102974
1866;1.2e-05;9.64762e-05
2000;9.33333e-06;9.06667e-05
2133;9.33333e-06;8.55833e-05
2266;1.46667e-05;8.14118e-05
2400;2e-05;7.8e-05
2533;1.86667e-05;7.48772e-05
2666;3.06667e-05;7.26667e-05
2800;0.000368;8.67302e-05
2933;1.2e-05;8.33333e-05
3066;2.13333e-05;8.06377e-05
3200;2.26667e-05;7.82222e-05
3333;0.000588;9.86133e-05
3466;9.33333e-06;9.51795e-05
3600;1.33333e-05;9.21481e-05
3733;2.66667e-05;8.98095e-05
3866;0.000269333;9.6e-05
4000;0.000201333;9.95111e-05
4133;8e-06;9.65591e-05
4266;2.53333e-05;9.43333e-05
4400;2.4e-05;9.2202e-05
4533;1.46667e-05;8.99216e-05
4666;3.86667e-05;8.84571e-05
4800;6.4e-05;8.77778e-05
4933;8e-06;8.56216e-05
5066;1.06667e-05;8.36491e-05
5200;1.06667e-05;8.17778e-05
5333;8e-06;7.99333e-05
5466;8e-06;7.81789e-05
5600;0.000321333;8.39683e-05
5733;1.86667e-05;8.24496e-05
5866;2.26667e-05;8.10909e-05
6000;9.33333e-06;7.94963e-05
6133;2.8e-05;7.83768e-05
6266;8e-06;7.68794e-05
6400;0.000241333;8.03056e-05
6533;1.2e-05;7.89116e-05
6666;1.06667e-05;7.75467e-05
6800;1.2e-05;7.62614e-05
6933;1.46667e-05;7.50769e-05
7066;2.4e-05;7.41132e-05
7200;0.000314667;7.85679e-05
7333;1.33333e-05;7.73818e-05
7466;9.33333e-06;7.61667e-05
7600;1.06667e-05;7.50175e-05
7733;9.33333e-06;7.38851e-05
7866;9.33333e-06;7.2791e-05
8000;1.2e-05;7.17778e-05
8133;0.000346667;7.62842e-05
8266;2.4e-05;7.54409e-05
8400;6.66667e-06;7.43492e-05
8533;2.13333e-05;7.35208e-05
8666;0.000214667;7.56923e-05
8800;1.06667e-05;7.47071e-05
8933;1.06667e-05;7.37512e-05
9066;1.2e-05;7.28431e-05
9200;2.13333e-05;7.20966e-05
9333;1.33333e-05;7.12571e-05
9466;1.06667e-05;7.04038e-05
9600;1.06667e-05;6.95741e-05
9733;2.13333e-05;6.89132e-05
9866;1.06667e-05;6.81261e-05
10000;1.2e-05;6.73778e-05
