frame;time;average
133;0.00695467;0.00695467
266;0.00708133;0.007018
400;0.0108307;0.00828889
533;0.0142227;0.00977233
666;0.0127693;0.0103717
800;0.0123307;0.0106982
933;0.02494;0.0127328
1066;0.0238947;0.014128
1200;0.0331213;0.0162384
1333;0.015556;0.0161701
1466;0.0109587;0.0156964
1600;0.015556;0.0156847
1733;0.013368;0.0155065
1866;0.0108587;0.0151745
2000;0.0121973;0.014976
2133;0.0181307;0.0151732
2266;0.0182627;0.0153549
2400;0.019404;0.0155799
2533;0.0124133;0.0154132
2666;0.0186307;0.0155741
2800;0.0167467;0.0156299
2933;0.012808;0.0155016
3066;0.0171747;0.0155744
3200;0.0145453;0.0155315
3333;0.02088;0.0157454
3466;0.0127013;0.0156284
3600;0.018068;0.0157187
3733;0.0147733;0.015685
3866;0.011708;0.0155478
4000;0.0142;0.0155029
4133;0.0128107;0.015416
4266;0.0130853;0.0153432
4400;0.010508;0.0151967
4533;0.015612;0.0152089
4666;0.0226347;0.0154211
4800;0.0190653;0.0155223
4933;0.0128013;0.0154488
5066;0.0165667;0.0154782
5200;0.0169227;0.0155152
5333;0.023308;0.01571
5466;0.0216013;0.0158537
5600;0.0176973;0.0158976
5733;0.0272067;0.0161606
5866;0.0101627;0.0160243
6000;0.0127067;0.0159506
6133;0.0144413;0.0159178
6266;0.039792;0.0164257
6400;0.0135107;0.016365
6533;0.0142653;0.0163221
6666;0.018764;0.016371
6800;0.01454;0.0163351
6933;0.013692;0.0162843
7066;0.0133027;0.016228
7200;0.0153827;0.0162123
7333;0.0149147;0.0161888
7466;0.0157947;0.0161817
7600;0.0197227;0.0162438
7733;0.020712;0.0163209
7866;0.0156507;0.0163095
8000;0.0264653;0.0164788
8133;0.012608;0.0164153
8266;0.0135813;0.0163696
8400;0.0186053;0.0164051
8533;0.0112747;0.0163249
8666;0.01174;0.0162544
8800;0.0133507;0.0162104
8933;0.015672;0.0162024
9066;0.021492;0.0162802
9200;0.0136293;0.0162417
9333;0.013908;0.0162084
9466;0.0156933;0.0162011
9600;0.0256627;0.0163326
9733;0.0133453;0.0162916
9866;0.0140187;0.0162609
10000;0.0117027;0.0162001
