frame;time;average
133;0.0002;0.0002
266;1.73333e-05;0.000108667
400;2.13333e-05;7.95555e-05
533;1.86667e-05;6.43333e-05
666;0.000192;8.98667e-05
800;1.86667e-05;7.8e-05
933;1.86667e-05;6.95238e-05
1066;1.73333e-05;6.3e-05
1200;2e-05;5.82222e-05
1333;2e-05;5.44e-05
1466;2.4e-05;5.16364e-05
1600;2e-05;4.9e-05
1733;2.13333e-05;4.68718e-05
1866;1.86667e-05;4.48571e-05
2000;2e-05;4.32e-05
2133;2.13333e-05;4.18333e-05
2266;4e-05;4.17255e-05
2400;2.8e-05;4.0963e-05
2533;2.8e-05;4.02807e-05
2666;0.000356;5.60667e-05
2800;0.000212;6.34921e-05
2933;0.000596;8.7697e-05
3066;0.000518667;0.000106435
3200;0.000632;0.000128333
3333;0.0003;0.0001352
3466;0.000954667;0.000166718
3600;0.000409333;0.000175704
3733;0.000593333;0.000190619
3866;0.00121333;0.000225885
4000;0.00198933;0.000284667
4133;0.00105467;0.000309505
4266;0.00216533;0.0003675
4400;0.001416;0.000399273
4533;0.00204267;0.000447608
4666;0.001412;0.000475162
4800;0.001372;0.000500074
4933;0.001268;0.000520829
5066;0.00115867;0.000537614
5200;0.00148;0.000561778
5333;0.00356267;0.0006368
5466;0.00145067;0.00065665
5600;0.00172;0.000681968
5733;0.00333867;0.000743752
5866;0.00155067;0.000762091
6000;0.00117467;0.000771259
6133;0.00111867;0.000778812
6266;0.001884;0.000802326
6400;0.000406667;0.000794083
6533;0.000856;0.000795347
6666;0.00127067;0.000804853
6800;0.000598667;0.00080081
6933;0.000714667;0.000799154
7066;0.00217067;0.000825031
7200;0.00128933;0.00083363
7333;0.00135067;0.00084303
7466;0.001104;0.00084769
7600;0.00098;0.000850012
7733;0.001288;0.000857563
7866;0.001448;0.000867571
8000;0.001932;0.000885311
8133;0.00163067;0.00089753
8266;0.000966667;0.000898645
8400;0.000768;0.000896571
8533;0.000474667;0.000889979
8666;0.000978667;0.000891344
8800;0.00130267;0.000897576
8933;0.00278533;0.000925751
9066;0.00161333;0.000935863
9200;0.00186133;0.000949275
9333;0.00194933;0.000963562
9466;0.00101867;0.000964338
9600;0.00225733;0.000982296
9733;0.00153867;0.000989918
9866;0.002284;0.00100741
10000;0.00112933;0.00100903
