frame;time;average
133;0.00205067;0.00205067
266;0.027116;0.0145833
400;0.0920586;0.0404084
533;0.134784;0.0640023
666;0.151133;0.0814285
800;0.193607;0.100125
933;0.167263;0.109716
1066;0.283415;0.131428
1200;0.159553;0.134553
1333;0.281188;0.149217
1466;0.212331;0.154954
1600;0.206776;0.159273
1733;0.194209;0.16196
1866;0.182811;0.16345
2000;0.181733;0.164669
2133;0.329777;0.174988
2266;0.264041;0.180226
2400;0.189093;0.180719
2533;0.190075;0.181211
2666;0.231615;0.183731
2800;0.232877;0.186072
2933;0.177725;0.185692
3066;0.181573;0.185513
3200;0.302296;0.190379
3333;0.189204;0.190332
3466;0.274975;0.193588
3600;0.311807;0.197966
3733;0.165363;0.196802
3866;0.329575;0.20138
4000;0.263835;0.203462
4133;0.193552;0.203142
4266;0.190415;0.202745
4400;0.294155;0.205515
4533;0.259237;0.207095
4666;0.181315;0.206358
4800;0.15932;0.205051
4933;0.184119;0.204486
5066;0.159248;0.203295
5200;0.178084;0.202649
5333;0.183703;0.202175
5466;0.229243;0.202835
5600;0.337184;0.206034
5733;0.235352;0.206716
5866;0.205364;0.206685
6000;0.204409;0.206635
6133;0.302192;0.208712
6266;0.189967;0.208313
6400;0.251195;0.209206
6533;0.268608;0.210419
6666;0.199947;0.210209
6800;0.215888;0.210321
6933;0.264931;0.211371
7066;0.175675;0.210697
7200;0.154955;0.209665
7333;0.179485;0.209116
7466;0.158467;0.208212
7600;0.19068;0.207904
7733;0.172511;0.207294
7866;0.161689;0.206521
8000;0.238823;0.207059
8133;0.244173;0.207668
8266;0.332363;0.209679
8400;0.169933;0.209048
8533;0.209585;0.209057
8666;0.17332;0.208507
8800;0.189275;0.208215
8933;0.188841;0.207926
9066;0.235053;0.208325
9200;0.192692;0.208099
9333;0.2586;0.20882
9466;0.204868;0.208764
9600;0.173528;0.208275
9733;0.187064;0.207984
9866;0.317941;0.20947
10000;0.192408;0.209243
