frame;time;average
0;5;0
1;0.8368;0.8368
2;0.4799;0.65835
3;0.4558;0.590833
4;0.4669;0.55985
5;0.456;0.53908
6;0.4544;0.524967
7;0.5887;0.534071
8;0.477;0.526937
9;0.4577;0.519244
10;0.454;0.51272
11;0.4547;0.507445
12;0.4552;0.503092
13;0.664;0.515469
14;0.6955;0.528329
15;0.7067;0.54022
16;0.6489;0.547012
17;0;0.514835
18;0.0001;0.486239
19;0.0001;0.460653
20;0.0001;0.437625
21;0.0001;0.41679
22;0.0001;0.39785
23;0.0001;0.380557
24;0.0001;0.364704
25;0.0001;0.35012
26;0.0001;0.336658
27;0.0001;0.324193
28;0.0001;0.312618
29;0.0001;0.301841
30;0.0001;0.291783
31;0.0001;0.282374
32;0.0001;0.273553
33;0.0001;0.265267
34;0.0001;0.257468
35;0.0001;0.250114
36;0.0001;0.243169
37;0.0001;0.2366
38;0.0002;0.230379
39;0.0002;0.224477
40;0.0001;0.218867
41;0.0001;0.213532
42;0.0001;0.20845
43;0.0001;0.203605
44;0.0001;0.19898
45;0.0001;0.19456
46;0.0001;0.190333
47;0.0001;0.186285
48;0.0001;0.182406
49;0.0001;0.178686
50;0.0001;0.175114
51;1.4296;0.199712
52;1.0263;0.215608
53;1.9317;0.247987
54;0.9078;0.260206
55;1.625;0.28502
56;0.0099;0.280107
57;1.1793;0.295882
58;0.5878;0.300916
59;0.0078;0.295947
60;0.8114;0.304538
61;0.8195;0.31298
62;0.0001;0.307934
63;0.0001;0.303048
64;0.0001;0.298314
65;0.0001;0.293726
66;0.0001;0.289277
67;0.0001;0.284961
68;0;0.280771
69;0.0001;0.276703
70;0.0001;0.272751
71;0.0001;0.268911
72;0.0001;0.265178
73;0.0002;0.261548
74;0.0001;0.258015
75;0.0001;0.254576
76;0.0001;0.251228
77;0.0001;0.247966
78;0.0001;0.244788
79;0.0001;0.241691
80;0.0001;0.238671
81;0.0001;0.235726
82;1.0129;0.245204
83;0.9579;0.25379
84;1.3713;0.267094
85;0.3932;0.268578
86;1.0824;0.278041
87;1.001;0.286351
