frame;time;average
0;5;0
1;0.0079;0.0079
2;0.0032;0.00555
3;0.0029;0.00466667
4;0.0031;0.004275
5;0.003;0.00402
6;0.0029;0.00383333
7;0.0033;0.00375714
8;0.003;0.0036625
9;0.0027;0.00355556
10;0.0029;0.00349
11;0.0029;0.00343636
12;0.0028;0.00338333
13;0.0029;0.00334615
14;0.0029;0.00331429
15;0.1317;0.0118733
16;0.0241;0.0126375
17;0.0004;0.0119176
18;0.0001;0.0112611
19;0.0001;0.0106737
20;0.0001;0.010145
21;0.0004;0.00968095
22;0.0001;0.00924545
23;0.0001;0.00884783
24;0.0001;0.00848333
25;0.0001;0.008148
26;0.0004;0.00785
27;0.0002;0.00756667
28;0.0003;0.00730714
29;0.0002;0.00706207
30;0.0001;0.00683
31;0.0082;0.00687419
32;0.0035;0.00676875
33;0.0031;0.00665758
34;0.0031;0.00655294
35;0.0033;0.00646
36;0.0005;0.00629444
37;0.0002;0.00612973
38;0.0003;0.00597632
39;0.0002;0.0058282
40;0.0001;0.005685
41;0.0088;0.00576098
42;0.0001;0.00562619
43;0.0041;0.0055907
44;0.0001;0.00546591
45;0.0117;0.00560444
46;0.0048;0.00558696
47;0.0032;0.00553617
48;0.0004;0.00542917
49;0.0035;0.0053898
50;0.0001;0.005284
51;0.0032;0.00524314
52;0.0001;0.00514423
53;0.0001;0.00504906
54;0.0002;0.00495926
55;0.008;0.00501455
56;0;0.004925
57;0.0036;0.00490175
58;0.0001;0.00481897
59;0.0053;0.00482712
60;0.005;0.00483
61;0.003;0.0048
62;0.0006;0.00473226
63;0.0045;0.00472857
64;0.0001;0.00465625
65;0.003;0.00463077
66;0.0001;0.00456212
67;0.0001;0.00449552
68;0.0001;0.00443088
69;0.0006;0.00437536
70;0.0002;0.00431571
71;0.0001;0.00425634
72;0.0001;0.00419861
73;0.0001;0.00414247
74;0;0.00408649
75;0.0001;0.00403333
76;0.0085;0.00409211
77;0.0001;0.00404026
78;0.0054;0.00405769
79;0.0003;0.00401013
80;0.0063;0.00403875
81;0.0049;0.00404938
82;0.0031;0.0040378
83;0.0004;0.00399398
84;0.0033;0.00398571
85;0.0002;0.00394118
86;0.0034;0.00393488
87;0.0001;0.0038908
88;0.0001;0.00384773
89;0.0002;0.00380674
90;0.0111;0.00388778
91;0.0001;0.00384615
92;0.0038;0.00384565
93;0.0001;0.00380538
94;0.0057;0.00382553
95;0.0054;0.00384211
96;0.0037;0.00384062
97;0.0007;0.00380825
98;0.0041;0.00381122
99;0.0001;0.00377374
100;0.0032;0.003768
101;0.0001;0.00373168
102;0.0001;0.00369608
103;0.0001;0.00366117
104;0.0004;0.00362981
105;0.0001;0.00359619
106;0.0001;0.00356321
107;0.0001;0.00353084
108;0.0001;0.00349907
109;0.0001;0.00346789
110;0.0001;0.00343727
111;0.01;0.0034964
112;0.0064;0.00352232
113;0.0033;0.00352035
114;0.0034;0.0035193
115;0.003;0.00351478
116;0.003;0.00351034
117;0.0031;0.00350684
118;0.0005;0.00348136
119;0.0001;0.00345294
120;0.0001;0.003425
121;0.0001;0.00339752
122;0.0001;0.00337049
123;0.0001;0.0033439
124;0.0084;0.00338468
125;0.0045;0.0033936
126;0;0.00336667
127;0.0052;0.0033811
128;0.0115;0.00344453
129;0.004;0.00344884
130;0.0004;0.00342538
131;0.0001;0.0034
132;0.0033;0.00339924
133;0.0001;0.00337444
134;0.0001;0.00335
135;0.0001;0.00332593
136;0.0004;0.00330441
137;0.0002;0.00328175
138;0.0001;0.0032587
139;0.0001;0.00323597
140;0.0002;0.00321429
141;0.0001;0.0031922
142;0.008;0.00322606
143;0.0031;0.00322517
144;0.0028;0.00322222
145;0.0026;0.00321793
146;0.0027;0.00321438
147;0.0028;0.00321156
148;0.0004;0.00319257
149;0.0002;0.00317248
150;0.0001;0.003152
151;0.0001;0.00313179
152;0.0001;0.00311184
153;0.0002;0.00309281
154;0.0238;0.00322727
155;0.0038;0.00323097
156;0.0001;0.0032109
157;0.0029;0.00320892
158;0.0048;0.00321899
159;0.0117;0.00327233
160;0.0004;0.00325437
161;0;0.00323416
162;0.0035;0.0032358
163;0.0001;0.00321656
164;0.0001;0.00319756
165;0.0001;0.00317879
166;0.0005;0.00316265
167;0.0001;0.00314431
168;0.0001;0.00312619
169;0.0001;0.00310828
