frame;time;average
133;0.000904001;0.000904001
266;0.000530667;0.000717334
400;0.00024;0.000558222
533;0.196608;0.0495707
666;0.275121;0.0946808
800;0.320512;0.132319
933;0.354373;0.164041
1066;0.434557;0.197856
1200;0.5407;0.23595
1333;0.477831;0.260138
1466;0.508055;0.282676
1600;0.381883;0.290943
1733;0.446071;0.302876
1866;0.390471;0.309133
2000;0.361291;0.31261
2133;0.438471;0.320476
2266;0.463687;0.3289
2400;0.723784;0.350838
2533;0.719104;0.370221
2666;0.446739;0.374047
2800;0.597331;0.384679
2933;0.402677;0.385497
3066;0.41431;0.38675
3200;0.535672;0.392955
3333;0.613948;0.401795
3466;0.585803;0.408872
3600;0.620934;0.416726
3733;0.793868;0.430195
3866;0.462316;0.431303
4000;0.682765;0.439685
4133;0.453776;0.44014
4266;0.450243;0.440455
4400;0.607441;0.445516
4533;0.350769;0.442729
4666;0.36276;0.440444
4800;0.460493;0.441001
4933;0.455324;0.441388
5066;0.361985;0.439299
5200;0.579685;0.442898
5333;0.386472;0.441488
5466;0.391316;0.440264
5600;0.591112;0.443856
5733;0.375845;0.442274
5866;0.612849;0.446151
6000;0.502636;0.447406
6133;0.555815;0.449763
6266;0.566525;0.452247
6400;0.599753;0.45532
6533;0.737028;0.461069
6666;0.501571;0.461879
6800;0.54246;0.463459
6933;0.568479;0.465479
7066;0.453029;0.465244
7200;0.599664;0.467733
7333;0.6229;0.470554
7466;0.71059;0.474841
7600;0.579283;0.476673
7733;0.713853;0.480762
7866;0.635752;0.483389
8000;0.490235;0.483503
8133;0.665599;0.486488
8266;0.466752;0.48617
8400;0.448843;0.485578
8533;0.481069;0.485507
8666;0.473949;0.485329
8800;0.679168;0.488266
8933;0.566243;0.48943
9066;0.357461;0.487489
9200;0.361723;0.485667
9333;0.461717;0.485325
9466;0.372024;0.483729
9600;0.337428;0.481697
9733;0.405413;0.480652
9866;0.463584;0.480421
10000;0.3368;0.478506
