time;count
0.0748373;2588
0.149675;4065
0.224512;2001
0.299349;749
0.374187;291
0.449024;120
0.523861;47
0.598699;37
0.673536;14
0.748373;18
0.823211;11
0.898048;17
0.972885;10
1.04772;8
1.12256;5
1.1974;4
1.27223;6
1.34707;1
1.42191;2
1.49675;2
1.57158;1
1.64642;1
1.72126;1
1.7961;0
1.87093;0
1.94577;0
2.02061;0
2.09545;0
2.17028;0
2.24512;0
2.31996;0
2.39479;0
2.46963;0
2.54447;0
2.61931;0
2.69414;0
2.76898;0
2.84382;0
2.91866;0
2.99349;0
3.06833;0
3.14317;0
3.21801;0
3.29284;0
3.36768;0
3.44252;0
3.51735;0
3.59219;0
3.66703;0
3.74187;0
3.8167;0
3.89154;0
3.96638;0
4.04122;0
4.11605;0
4.19089;0
4.26573;0
4.34057;0
4.4154;0
4.49024;0
4.56508;0
4.63991;0
4.71475;0
4.78959;0
4.86443;0
4.93926;0
5.0141;0
5.08894;0
5.16378;0
5.23861;0
5.31345;0
5.38829;0
5.46313;0
5.53796;0
5.6128;1
