frame;time;average
133;1.6e-05;1.6e-05
266;1.86667e-05;1.73333e-05
400;0.000370667;0.000135111
533;1.86667e-05;0.000106
666;0.00032;0.0001488
800;0.000402667;0.000191111
933;1.2e-05;0.000165524
1066;0.000294667;0.000181667
1200;2e-05;0.000163704
1333;1.2e-05;0.000148533
1466;1.33333e-05;0.000136242
1600;1.46667e-05;0.000126111
1733;1.46667e-05;0.000117538
1866;0.000293333;0.000130095
2000;0.000258667;0.000138667
2133;1.86667e-05;0.000131167
2266;1.46667e-05;0.000124314
2400;9.33333e-06;0.000117926
2533;1.33333e-05;0.000112421
2666;2.13333e-05;0.000107867
2800;2e-05;0.000103683
2933;6.93333e-05;0.000102121
3066;0.000293333;0.000110435
3200;0.000989333;0.000147056
3333;6.53333e-05;0.000143787
3466;2.26667e-05;0.000139128
3600;2.4e-05;0.000134864
3733;8e-06;0.000130333
3866;2.13333e-05;0.000126575
4000;0.000285333;0.000131867
4133;3.06667e-05;0.000128602
4266;1.46667e-05;0.000125042
4400;3.2e-05;0.000122222
4533;2.53333e-05;0.000119373
4666;2.66667e-05;0.000116724
4800;4.53333e-05;0.000114741
4933;3.06667e-05;0.000112468
5066;5.73333e-05;0.000111018
5200;1.86667e-05;0.00010865
5333;2.66667e-05;0.0001066
5466;9.33333e-06;0.000104228
5600;2.66667e-05;0.000102381
5733;1.2e-05;0.000100279
5866;0.000306667;0.00010497
6000;1.2e-05;0.000102904
6133;2.4e-05;0.000101188
6266;1.33333e-05;9.93191e-05
6400;2.66667e-05;9.78056e-05
6533;2.4e-05;9.62993e-05
6666;1.06667e-05;9.45867e-05
6800;0.000282667;9.82745e-05
6933;2.93333e-05;9.69487e-05
7066;1.33333e-05;9.53711e-05
7200;2e-05;9.39753e-05
7333;2e-05;9.26303e-05
7466;2.13333e-05;9.13571e-05
7600;4.53333e-05;9.05497e-05
7733;0.000277333;9.37701e-05
7866;0.000333333;9.78305e-05
8000;1.6e-05;9.64667e-05
8133;1.33333e-05;9.51038e-05
8266;2.93333e-05;9.4043e-05
8400;9.46667e-05;9.40529e-05
8533;3.33333e-05;9.31042e-05
8666;4.8e-05;9.24103e-05
8800;0.00121733;0.000109455
8933;0.000322667;0.000112637
9066;1.73333e-05;0.000111235
9200;0.00313333;0.000155034
9333;0.000901333;0.000165695
9466;0.000357333;0.000168394
9600;1.6e-05;0.000166278
9733;2.93333e-05;0.000164402
9866;1.6e-05;0.000162396
10000;1.33333e-05;0.000160409
