frame;time;average
133;0.010484;0.010484
266;0.0100187;0.0102513
400;0.0114493;0.0106507
533;0.0188827;0.0127087
666;0.013828;0.0129325
800;0.0139173;0.0130967
933;0.0195253;0.014015
1066;0.0186;0.0145882
1200;0.0144147;0.0145689
1333;0.0115347;0.0142655
1466;0.014576;0.0142937
1600;0.0112667;0.0140414
1733;0.0126427;0.0139338
1866;0.0128867;0.013859
2000;0.0100507;0.0136052
2133;0.014908;0.0136866
2266;0.0168267;0.0138713
2400;0.0185053;0.0141287
2533;0.0215267;0.0145181
2666;0.020948;0.0148396
2800;0.0143707;0.0148173
2933;0.0145853;0.0148067
3066;0.011772;0.0146748
3200;0.0128413;0.0145984
3333;0.0118427;0.0144882
3466;0.0114053;0.0143696
3600;0.012292;0.0142926
3733;0.010448;0.0141553
3866;0.0150267;0.0141854
4000;0.0161493;0.0142508
4133;0.0176293;0.0143598
4266;0.0178907;0.0144702
4400;0.012756;0.0144182
4533;0.0149467;0.0144338
4666;0.0157133;0.0144703
4800;0.01346;0.0144423
4933;0.011404;0.0143601
5066;0.0137493;0.0143441
5200;0.0113533;0.0142674
5333;0.00935467;0.0141446
5466;0.013568;0.0141305
5600;0.0114707;0.0140672
5733;0.0138133;0.0140613
5866;0.0166333;0.0141197
6000;0.0135573;0.0141072
6133;0.0126547;0.0140757
6266;0.0171693;0.0141415
6400;0.0192587;0.0142481
6533;0.0114067;0.0141901
6666;0.013788;0.0141821
6800;0.01202;0.0141397
6933;0.0143773;0.0141442
7066;0.0230307;0.0143119
7200;0.0208413;0.0144328
7333;0.0194627;0.0145243
7466;0.016324;0.0145564
7600;0.0156293;0.0145752
7733;0.0152427;0.0145867
7866;0.017272;0.0146322
8000;0.013492;0.0146132
8133;0.0146387;0.0146137
8266;0.0113293;0.0145607
8400;0.0138213;0.014549
8533;0.0203773;0.01464
8666;0.017152;0.0146787
8800;0.02484;0.0148326
8933;0.0203507;0.014915
9066;0.0132253;0.0148901
9200;0.015752;0.0149026
9333;0.0148933;0.0149025
9466;0.0129173;0.0148745
9600;0.0142987;0.0148665
9733;0.0138653;0.0148528
9866;0.012408;0.0148198
10000;0.0153627;0.014827
