frame;time;average
133;0.000194667;0.000194667
266;2.26667e-05;0.000108667
400;1.86667e-05;7.86667e-05
533;1.73333e-05;6.33333e-05
666;0.000168;8.42667e-05
800;2.26667e-05;7.4e-05
933;2e-05;6.62857e-05
1066;2.26667e-05;6.08333e-05
1200;2.13333e-05;5.64444e-05
1333;2e-05;5.28e-05
1466;2e-05;4.98182e-05
1600;1.73333e-05;4.71111e-05
1733;2.53333e-05;4.54359e-05
1866;1.86667e-05;4.35238e-05
2000;1.6e-05;4.16889e-05
2133;1.6e-05;4.00833e-05
2266;2.26667e-05;3.90588e-05
2400;1.86667e-05;3.79259e-05
2533;0.000348;5.42456e-05
2666;0.000618667;8.24667e-05
2800;0.000554667;0.000104952
2933;0.000672;0.000130727
3066;0.00160933;0.000195014
3200;0.000790667;0.000219833
3333;0.00252533;0.000312053
3466;0.00116133;0.000344718
3600;0.00347067;0.000460494
3733;0.00260667;0.000537143
3866;0.00272267;0.000612506
4000;0.00185733;0.000654
4133;0.00140667;0.00067828
4266;0.00117467;0.000693792
4400;0.001236;0.000710222
4533;0.003676;0.000797451
4666;0.001832;0.00082701
4800;0.000504;0.000818037
4933;0.00144533;0.000834991
5066;0.00337467;0.000901825
5200;0.00384533;0.000977299
5333;0.00485467;0.00107423
5466;0.00214;0.00110023
5600;0.00335333;0.00115387
5733;0.00171867;0.00116701
5866;0.001636;0.00117767
6000;0.00166133;0.00118841
6133;0.000944;0.0011831
6266;0.00185733;0.00119745
6400;0.000638667;0.00118581
6533;0.00264933;0.00121567
6666;0.004236;0.00127608
6800;0.00142933;0.00127908
6933;0.002364;0.00129995
7066;0.00183067;0.00130996
7200;0.003684;0.00135393
7333;0.00140533;0.00135486
7466;0.001388;0.00135545
7600;0.002276;0.0013716
7733;0.000958667;0.00136448
7866;0.001168;0.00136115
8000;0.00117333;0.00135802
8133;0.00388;0.00139937
8266;0.00240267;0.00141555
8400;0.00181467;0.00142188
8533;0.001092;0.00141673
8666;0.00281067;0.00143817
8800;0.00105467;0.00143236
8933;0.001672;0.00143594
9066;0.000150667;0.00141704
9200;0.00399067;0.00145434
9333;0.001576;0.00145608
9466;0.00554667;0.00151369
9600;0.00438533;0.00155357
9733;0.00266;0.00156873
9866;0.00150933;0.00156793
10000;0.00190533;0.00157243
