frame;time;average
133;0.00068;0.00068
266;0.0161733;0.00842667
400;0.125031;0.0472947
533;0.168119;0.0775007
666;0.185284;0.0990573
800;0.297733;0.13217
933;0.323956;0.159568
1066;0.241384;0.169795
1200;0.202424;0.17342
1333;0.26484;0.182562
1466;0.326339;0.195633
1600;0.316261;0.205685
1733;0.192032;0.204635
1866;0.199772;0.204288
2000;0.419073;0.218607
2133;0.207803;0.217932
2266;0.215555;0.217792
2400;0.195417;0.216549
2533;0.213747;0.216401
2666;0.206273;0.215895
2800;0.224781;0.216318
2933;0.222104;0.216581
3066;0.213872;0.216463
3200;0.200928;0.215816
3333;0.199381;0.215159
3466;0.335829;0.2198
3600;0.225856;0.220024
3733;0.209141;0.219635
3866;0.373668;0.224947
4000;0.264936;0.22628
4133;0.210052;0.225756
4266;0.199124;0.224924
4400;0.187428;0.223788
4533;0.199144;0.223063
4666;0.192831;0.222199
4800;0.206943;0.221775
4933;0.202075;0.221243
5066;0.199861;0.22068
5200;0.215873;0.220557
5333;0.223933;0.220641
5466;0.195671;0.220032
5600;0.204661;0.219666
5733;0.198627;0.219177
5866;0.20706;0.218902
6000;0.190452;0.21827
6133;0.193583;0.217733
6266;0.222369;0.217831
6400;0.216021;0.217794
6533;0.207207;0.217578
6666;0.226265;0.217751
6800;0.218645;0.217769
6933;0.209009;0.217601
7066;0.279707;0.218772
7200;0.236763;0.219106
7333;0.200965;0.218776
7466;0.292517;0.220093
7600;0.290629;0.22133
7733;0.204139;0.221034
7866;0.307817;0.222504
8000;0.188751;0.221942
8133;0.19606;0.221518
8266;0.243099;0.221866
8400;0.300867;0.22312
8533;0.219024;0.223056
8666;0.283133;0.22398
8800;0.276435;0.224775
8933;0.261869;0.225328
9066;0.237161;0.225502
9200;0.311212;0.226745
9333;0.209871;0.226504
9466;0.211052;0.226286
9600;0.179659;0.225638
9733;0.198159;0.225262
9866;0.208048;0.225029
10000;0.206173;0.224778
