frame;time;average
0;5;0
1;0.5369;0.5369
2;0.0001;0.2685
3;0.0004;0.179133
4;0.1009;0.159575
5;0.0001;0.12768
6;0.0006;0.1065
7;0.0001;0.0913
8;0.1057;0.0931
9;0.0002;0.0827778
10;0.0001;0.07451
11;0.1056;0.0773364
12;0.0001;0.0709
13;0.0002;0.0654615
14;0.1615;0.0723214
15;0.0001;0.0675067
16;0.0001;0.0632938
17;0.2104;0.0719471
18;0.0001;0.0679556
19;0.0003;0.0643947
20;0.4501;0.08368
21;0;0.0796952
22;0.0001;0.0760773
23;0.3127;0.0863652
24;0.0001;0.0827708
25;0.0001;0.079464
26;0.2488;0.0859769
27;0.0001;0.0827963
28;0.0001;0.0798429
29;0.2689;0.0863621
30;0.0002;0.08349
31;0.0001;0.0808
32;0.3259;0.0884594
33;0.0001;0.0857818
34;0.3453;0.0934147
35;0;0.0907457
36;0.0001;0.0882278
37;0.3457;0.0951865
38;0.6482;0.109739
39;0.0001;0.106928
40;0.0001;0.104258
41;1.0827;0.128122
42;0.0001;0.125074
43;0.0001;0.122167
44;0.0001;0.119393
45;0.0003;0.116747
46;0.7203;0.129867
47;0.0001;0.127106
48;0.0002;0.124463
49;0.7847;0.137937
50;0.0001;0.13518
51;0.0001;0.132531
52;0.0001;0.129985
53;0.7478;0.141642
54;0.0002;0.139022
55;0.8307;0.151598
56;0.0001;0.148893
57;0.0001;0.146282
58;0.8972;0.159229
59;0.0001;0.156532
60;0.0001;0.153925
61;0.9207;0.166495
62;0.0002;0.163813
63;0.0001;0.161214
64;1.2895;0.178844
65;0.0001;0.176094
66;0;0.173426
67;1.1424;0.187888
68;0.0001;0.185126
69;0.0002;0.182446
70;1.1764;0.196646
71;0.0001;0.193877
72;0.0001;0.191186
73;0.947;0.20154
74;0.0001;0.198818
75;0.0001;0.196168
76;1.1125;0.208225
77;0.0001;0.205522
78;0.0001;0.202888
79;0.8747;0.211392
80;0.0003;0.208754
81;1.0042;0.218574
82;0.0002;0.215911
83;0.0001;0.213311
84;0.9666;0.222279
85;0.0001;0.219665
86;0.0001;0.217112
87;0.6374;0.221943
88;0.0001;0.219422
89;0;0.216956
90;0.6716;0.222008
91;0.0006;0.219575
92;0.0001;0.217189
93;0.7475;0.222891
94;0.0001;0.220521
95;1.8414;0.237583
96;0.0001;0.235109
97;0.0001;0.232687
98;0.9122;0.23962
99;0.0003;0.237203
100;0.0001;0.234832
101;0.6858;0.239297
102;0.0001;0.236952
103;0.0004;0.234655
104;0.5233;0.237431
105;0.0001;0.23517
106;0.0001;0.232953
107;0.4783;0.235246
108;0.0001;0.233069
109;0.9958;0.240066
110;0.0002;0.237885
111;0.0001;0.235743
112;1.2882;0.24514
113;0.0008;0.242978
114;0.0001;0.240847
115;0.8206;0.245889
116;0.0001;0.24377
117;0;0.241686
118;0.7754;0.246209
119;0.0001;0.244141
120;0.0001;0.242108
121;0.0001;0.240107
122;1.0713;0.24692
123;0.0001;0.244914
124;0.0001;0.24294
125;0.7457;0.246962
126;0.0001;0.245002
127;0.0001;0.243074
128;0.7875;0.247327
129;0;0.24541
130;0.0001;0.243523
131;0.0003;0.241666
132;0.9632;0.247133
133;0.0001;0.245275
134;0.0001;0.243446
135;0.977;0.248879
136;0.0001;0.24705
