frame;time;average
0;5;0
1;0.0083;0.0083
2;0.0035;0.0059
3;0.0031;0.00496667
4;0.003;0.004475
5;0.0036;0.0043
6;0.003;0.00408333
7;0.0029;0.00391429
8;0.003;0.0038
9;0.0032;0.00373333
10;0.003;0.00366
11;0.003;0.0036
12;0.0031;0.00355833
13;0.0032;0.00353077
14;0.003;0.00349286
15;0.1684;0.0144867
16;0.0258;0.0151938
17;0.0004;0.0143235
18;0.0001;0.0135333
19;0.0001;0.0128263
20;0.0001;0.01219
21;0.0003;0.0116238
22;0.0001;0.0111
23;0.0001;0.0106217
24;0.0001;0.0101833
25;0.0001;0.00978
26;0.0004;0.00941923
27;0.0001;0.00907407
28;0.0002;0.00875714
29;0.0001;0.00845862
30;0.0001;0.00818
31;0.0094;0.00821936
32;0.0038;0.00808125
33;0.0034;0.00793939
34;0.0044;0.00783529
35;0.0035;0.00771143
36;0.0003;0.00750556
37;0.0001;0.00730541
38;0.0002;0.00711842
39;0.0002;0.00694103
40;0.0001;0.00677
41;0.011;0.00687317
42;0.006;0.00685238
43;0.0052;0.00681395
44;0.0062;0.0068
45;0.0115;0.00690444
46;0.0002;0.0067587
47;0.0002;0.00661915
48;0;0.00648125
49;0.0001;0.00635102
50;0.0002;0.006228
51;0.0097;0.00629608
52;0.0038;0.00624808
53;0.0096;0.00631132
54;0.0072;0.00632778
55;0.0253;0.00667273
56;0.0005;0.0065625
57;0.0001;0.00644912
58;0.0002;0.00634138
59;0.0002;0.00623729
60;0.0001;0.006135
61;0.0095;0.00619016
62;0.0038;0.00615161
63;0.0033;0.00610635
64;0.0053;0.00609375
65;0.0034;0.00605231
66;0.0032;0.00600909
67;0.0003;0.00592388
68;0.0002;0.00583971
69;0.0002;0.00575797
70;0.0001;0.00567714
71;0;0.00559718
72;0.0002;0.00552222
73;0.0004;0.00545205
74;0.0083;0.00549054
75;0.0001;0.00541867
76;0.0001;0.00534868
77;0.0001;0.00528052
78;0.0001;0.0052141
79;0.0101;0.00527595
80;0.0001;0.00521125
81;0.0079;0.00524444
82;0.0063;0.00525732
83;0.008;0.00529036
84;0.007;0.00531071
85;0.0003;0.00525176
86;0.004;0.00523721
87;0.0002;0.00517931
88;0.0001;0.00512159
89;0.0001;0.00506517
90;0.0001;0.00501
91;0.0278;0.00526044
92;0.0001;0.00520435
93;0.0039;0.00519032
94;0.0039;0.0051766
95;0.0052;0.00517684
96;0.0056;0.00518125
97;0.0006;0.00513402
98;0.0001;0.00508265
99;0.0001;0.00503232
100;0.0001;0.004983
101;0.0001;0.00493465
102;0.0002;0.00488824
103;0.0001;0.00484175
104;0.0009;0.00480385
105;0.0001;0.00475905
106;0.0001;0.00471509
107;0.0748;0.00537009
108;0.0077;0.00539167
109;0.0056;0.00539358
110;0.0064;0.00540273
111;0.0064;0.00541171
112;0.0004;0.00536696
113;0.0001;0.00532035
114;0.0001;0.00527456
115;0;0.0052287
